indicator_id,classification_id,context_id,provenance,text_fragment,classification_id_rev
ASP,ASP_NON,E_F_E.10,BD3E_F,If you don?t do much education then you don?t have much wish or dreams either that?s why I didn?t have any dream.,
ASP,ASP_NON,E_F_E.10,IN1E_F,No we did not have any plans as such for our future,
ASP,ASP_NON,E_F_E.10,IN1E_F,"I dropped out due to lack of money
		What plans can we make for our future?",
ASP,ASP_NON,E_F_E.10,PK2E_F,R.1.: when education is incomplete i have no special goals to be set for future,
ASP,ASP_NON,E_F_E.10,PK2E_F,R.3: It is impossible to think of becoming officer with 5th level of education and plan special goal because our parents set one goal for our future and that is marriage,
ASP,ASP_NON,E_F_E.10,PK7E_F,Our relatives were illiterate and poor. They are not wise then how can there be some goal.,
ASP,ASP_NON,E_M_E.11,ET2E_M,really prefer to do nothing,
ASP,ASP_NON,E_F_E.12,PK2E_F,"R.1.: If the education is incomplete, how to think of doing something after completion of study",
ASP,ASP_TRAD,E_F_E.10,BD3E_F,"My dream was to get married, take care of my husband?s family and raise my children",
ASP,ASP_TRAD,E_F_E.10,IN7E_F,Most of us work as farm labor,
ASP,ASP_TRAD,E_F_E.10,UZ3E_F,I want to be a farmer and raise very good wheat for all our people in district,
ASP,ASP_TRAD,E_M_E.12,BD6E_M,engage in agricultural work when they stopped their schooling,
ASP,ASP_TRAD,E_M_E.12,IN1E_M,People whose parents have their own land can also join their parents in farming,
ASP,ASP_TRAD,E_M_E.12,IN4E_M,Those with lot of land can do agriculture,
ASP,ASP_TRAD,E_M_E.12,PK2E_M,R1. Girls shall stay home and assist their mother,
ASP,ASP_TRAD,E_F_E.11,IN4E_F,Some also do agricultural activities,
ASP,ASP_TRAD,E_M_E.11,IN4E_M,Most young men end up doing agricultural work,
ASP,ASP_TRAD,E_M_E.11,IN7E_M,Some are doing farming like their fathers,
ASP,ASP_TRAD,E_M_E.11,NP1E_M,few people who plan to do agriculture after study,
ASP,ASP_TRAD,E_M_E.43,IN7E_M,He will do agriculture if he has land here,
ASP,ASP_TRAD,E_F_E.14,NP1E_F,earn more profits from maize cultivation,
ASP,ASP_TRAD,E_F_E.36,NP1E_F,Durga can make more profits from land,
ASP,ASP_TRAD,E_F_E.36,NP1E_F,Durga can expand farmland and make more crop production,
ASP,ASP_TRAD,E_F_E.12,PK7E_F,Will take care of the children,
ASP,ASP_TRAD,E_F_E.12,PK7E_F,She will bring up his children in a good way.,
ASP,ASP_TRAD,E_F_E.7,UZ3E_F,most important that we like agricultural works because we are living in rural areas,
ASP,ASP_COL,E_F_E.10,BD3E_F,My dream was to finish S.S.C then study nursing and pass and become a good nurse,
ASP,ASP_COL,E_F_E.10,BD6E_F,I wished to be a nurse after completing my studies,
ASP,ASP_COL,E_F_E.10,BD6E_F,I want to be a doctor after my education,
ASP,ASP_COL,E_F_E.10,BD6E_F,My dream is that after my education I will be a nurse or a teacher,
ASP,ASP_COL,E_F_E.10,BD6E_F,I had a goal to be a teacher.,
ASP,ASP_COL,E_F_E.10,BD6E_F,I thought that at least I would pass SSC and then I would work at BRAC.,
ASP,ASP_COL,E_F_E.10,BD6E_F,I want to be a lawyer,
ASP,ASP_COL,E_F_E.10,BD6E_F,I wanted to be a nurse,
ASP,ASP_COL,E_F_E.10,BD6E_F,I want to be a teacher.,
ASP,ASP_COL,E_F_E.10,ET1E_F,I wished I would become a medical doctor.,
ASP,ASP_COL,E_F_E.10,ET1E_F,I wanted to join XX Police,
ASP,ASP_COL,E_F_E.10,ET1E_F,I wanted to become a teacher,
ASP,ASP_COL,E_F_E.10,ET1E_F,I like to be health extension agent,
ASP,ASP_COL,E_F_E.10,ET1E_F,I imagined for a long time to be a Minister.,
ASP,ASP_COL,E_F_E.10,ET2E_F,My goal is to graduate and becoming a nurse.,
ASP,ASP_COL,E_F_E.10,ET2E_F,I want to be a teacher.,
ASP,ASP_COL,E_F_E.10,ET2E_F,I want to study English and to be a doctor.,
ASP,ASP_COL,E_F_E.10,ET2E_F,I want to be scientist and become well known.,
ASP,ASP_COL,E_F_E.10,ET4E_F,I drop out but I want to continue my education and want to be a well educated business woman.,ASP_BUSS
ASP,ASP_COL,E_F_E.10,ET4E_F,Im playing football and I want to be an educated soccer player in the future,
ASP,ASP_COL,E_F_E.10,ET4E_F,I want to be journalist in the future,
ASP,ASP_COL,E_F_E.10,ET4E_F,I want to be a lawyer,
ASP,ASP_COL,E_F_E.10,ET4E_F,I have an ambition to be professional dancer because I believe Im physically fit to be a dancer,
ASP,ASP_COL,E_F_E.10,ET4E_F,I want to be eye specialist doctor,
ASP,ASP_COL,E_F_E.10,ET4E_F,I want to be a singer,
ASP,ASP_COL,E_F_E.10,IN4E_F,I want to be a teacher,
ASP,ASP_COL,E_F_E.10,IN7E_F,I wanted to be a teacher,
ASP,ASP_COL,E_F_E.10,NP1E_F,get job in private company,
ASP,ASP_COL,E_F_E.10,NP1E_F,to become a social worker,
ASP,ASP_COL,E_F_E.10,NP2E_F,want to become banker,
ASP,ASP_COL,E_F_E.10,UZ3E_F,I would like to be a designer,
ASP,ASP_COL,E_F_E.10,UZ3E_F,I want to be both a doctor and business lady because I want to open my own stomatology center,
ASP,ASP_COL,E_M_E.12,BD3E_M,And if s/he has a secondary or higher secondary education s/he can enter job in RMG sector or other industrial job,
ASP,ASP_COL,E_M_E.12,BD6E_M,they can enter job in RMG sector or other industrial job. They can do private tuition.,
ASP,ASP_COL,E_M_E.12,IN4E_M,We should be able to get a good government/private job,
ASP,ASP_COL,E_M_E.12,IN9E_M,Boys should join the army and serve the nation,
ASP,ASP_COL,E_M_E.12,IN9E_M,We can also join the police force and serve the nation,
ASP,ASP_COL,E_M_E.12,IN9E_M,Girls can work in government jobs or as school teachers,
ASP,ASP_COL,E_M_E.12,IN9E_M,Boys can join politics and help the country on its progress path,
ASP,ASP_COL,E_M_E.12,NP2E_M,government should give or create a job opportunity,
ASP,ASP_COL,E_M_E.12,PK2E_M,"R4. At the completion of education, boys and girls shall start jobs and provide services to the masses in general like teacher doctors etc.",
ASP,ASP_COL,E_M_E.10,BD6E_M,I wish I could have completed my education and start a professional career,ASP_UNSP
ASP,ASP_COL,E_M_E.10,ET1E_M,I have an ambition to be a teacher,
ASP,ASP_COL,E_M_E.10,ET1E_M,I want to be a doctor,
ASP,ASP_COL,E_M_E.10,ET1E_M,I would like to become an accountant,
ASP,ASP_COL,E_M_E.10,ET2E_M,"goal was college, university, engineer",
ASP,ASP_COL,E_M_E.10,ET2E_M,had great vision to be doctor,
ASP,ASP_COL,E_M_E.10,ET2E_M,also wanted to be doctor,
ASP,ASP_COL,E_M_E.10,ET2E_M,dreamed to be teacher,
ASP,ASP_COL,E_M_E.10,ET4E_M,"my goal is to be a professional lawyer, because I like civics and the democracy terms",
ASP,ASP_COL,E_M_E.10,ET4E_M,"my goal was to be shop owner, because my family has one",
ASP,ASP_COL,E_M_E.10,IN1E_M,I want to join the railways after I finish my education,
ASP,ASP_COL,E_M_E.10,IN1E_M,I want to join the defense services or the police force,
ASP,ASP_COL,E_M_E.10,IN1E_M,"Yes, we all want government job",
ASP,ASP_COL,E_M_E.10,IN3E_M,I wanted to join the army,
ASP,ASP_COL,E_M_E.10,IN3E_M,We all wanted to get a government job,
ASP,ASP_COL,E_M_E.10,IN3E_M,I wanted to do engineering,
ASP,ASP_COL,E_M_E.10,IN4E_M,I tried to get a teachers job but failed since I did not have a B.Ed.,
ASP,ASP_COL,E_M_E.10,IN4E_M,I wanted to be a police but ended up working in agriculture,
ASP,ASP_COL,E_M_E.10,IN4E_M,A friend of mine wanted to be a police officer but instead is rolling bidis today,
ASP,ASP_COL,E_M_E.10,IN7E_M,I wanted to be a teacher,
ASP,ASP_COL,E_M_E.10,IN7E_M,I wanted to be a pilot,
ASP,ASP_COL,E_M_E.10,IN7E_M,Most of us want government jobs,
ASP,ASP_COL,E_M_E.10,IN9E_M,I wanted to join the police force,
ASP,ASP_COL,E_M_E.10,IN9E_M,We are studying in order to get a government job which has both money and security,
ASP,ASP_COL,E_M_E.10,NP2E_M,do civil service,
ASP,ASP_COL,E_M_E.10,NP2E_M,to do social work,
ASP,ASP_COL,E_M_E.10,PK2E_M,R4. I am looking at the government job after I complete my education,
ASP,ASP_COL,E_M_E.10,PK7E_M,I desire to do a job either in a bank or any other established institution.,
ASP,ASP_COL,E_M_E.10,UZ3E_M,Someone wants to be a doctor,
ASP,ASP_COL,E_M_E.51,ET1E_M,Job opportunities on wood work,
ASP,ASP_COL,E_M_E.51,ET2E_M,need secondary school here,ASP_UNSP
ASP,ASP_COL,E_M_E.51,IN4E_M,We need to have a higher secondary school and a college in our village,ASP_UNSP
ASP,ASP_COL,E_M_E.51,IN7E_M,There should be college within 5 kilometers of the village,ASP_UNSP
ASP,ASP_COL,E_M_E.51,IN7E_M,We need a job training center,ASP_UNSP
ASP,ASP_COL,E_M_E.51,PK7E_M,There should be an arrangement of skilled training.,ASP_UNSP
ASP,ASP_COL,E_F_E.3,ET2E_F,my sisters want to study in XX and discussed with the family now they joined private collage.,ASP_UNSP
ASP,ASP_COL,E_F_E.3,ET2E_F,if I did not drop out I would go to some place either as a nurse or teacher.,
ASP,ASP_COL,E_F_E.3,ET2E_F,I want to be a doctor or an engineer.,
ASP,ASP_COL,E_F_E.3,IN7E_F,we can think of making a career at school (teacher),
ASP,ASP_COL,E_F_E.5,ET2E_F,Education should not be limited one should go as far as his/her capacity allow.,ASP_UNSP
ASP,ASP_COL,E_F_E.5,IN1E_F,If they are educated then we can also better do the outside work like banks etc,
ASP,ASP_COL,E_F_E.5,IN4E_F,We should complete our graduation (Bachelors),ASP_UNSP
ASP,ASP_COL,E_F_E.5,IN4E_F,We must complete our studies to get a decent job like a teachers,
ASP,ASP_COL,E_F_E.5,IN7E_F,They should be allowed to pursue college and technical education too,ASP_UNSP
ASP,ASP_COL,E_F_E.5,NP1E_F,both girls and boys should do Master Level and more,ASP_UNSP
ASP,ASP_COL,E_F_E.5,NP2E_F,if we study higher we could do social work,
ASP,ASP_COL,E_F_E.5,UZ3E_F,most of us dream and trying to get high education,ASP_UNSP
ASP,ASP_COL,E_F_E.12,ET2E_F,Most of us want to study until we can otherwise we join vocational school in XX.,ASP_UNSP
ASP,ASP_COL,E_F_E.12,ET2E_F,Going to XX if they afford it here there is nothing.,ASP_UNSP
ASP,ASP_COL,E_F_E.12,IN1E_F,One can open a beauty salon; it fetched good returns,
ASP,ASP_COL,E_F_E.12,IN3E_F,We should be doing a good government job,
ASP,ASP_COL,E_F_E.12,IN4E_F,We should try to get a decent job,ASP_UNSP
ASP,ASP_COL,E_F_E.12,IN7E_F,Girls should engage in stitching and handicrafts,
ASP,ASP_COL,E_F_E.12,IN7E_F,We can also give tuitions to younger children,
ASP,ASP_COL,E_F_E.12,NP2E_F,social works,
ASP,ASP_COL,E_F_E.12,NP2E_F,learn skilled works,ASP_UNSP
ASP,ASP_COL,E_F_E.43,ET2E_F,"women who go to the nearest town for work as teachers, in hotels or shops.",
ASP,ASP_COL,E_F_E.43,NP2E_F,"more opportunities can be obtained after returning back. Such as organizing trainings, start doing job as per work experiance,",ASP_UNSP
ASP,ASP_COL,E_F_E.51,ET2E_F,I wish girls are stop marrying at early age and pursue their education.,ASP_UNSP
ASP,ASP_COL,E_F_E.51,IN3E_F,There should be a college here to pursue a medicine and engineering degree,
ASP,ASP_COL,E_F_E.51,IN4E_F,No one from our village goes to college; we all want to complete our college education,ASP_UNSP
