indicator_id,classification_id,context_id,provenance,text_fragment,classification_id_rev
GAP,GAP_NON,E_F_E.10,BD3E_F,"My dream was to get married, take care of my husband?s family and raise my children. I am doing that [smiles].",
GAP,GAP_NON,E_M_E.11,BD6E_M,Some youths try to get private professional jobs those have obtained bachelor degree,
GAP,GAP_NON,E_M_E.11,IN1E_M,They get government jobs,
GAP,GAP_NON,E_M_E.11,IN1E_M,They also do private jobs,
GAP,GAP_NON,E_M_E.11,IN1E_M,They work in companies,
GAP,GAP_NON,E_F_E.42,ET4E_F,it is not difficult for me because my job is to convince my parents that it would be better for me to get a job rather to seat and wait for them to do something for me,
GAP,GAP_NON,E_F_E.42,ET4E_F,"many girls go to other town like XX, XX, XX and XX looking for better opportunities similarly our parents are aware , attend meetings and know the opportunity for youths in our kebele is limited as result they allow us to go and search for better life",
GAP,GAP_NON,E_F_E.42,ET4E_F,"it will be easy as she knows her future plan and know the place to convince her parents because our parents want better life for their children. Similarly, we can take the cases of other youths as model who went to other town and working to convince our parents",
GAP,GAP_NON,E_M_E.10,ET4E_M,my goal was to be a modern farmer and I am now,
GAP,GAP_NON,E_F_E.11,IN1E_F,Educated girls do jobs,
GAP,GAP_NON,E_F_E.4,IN4E_F,Both boys and girls study up to class 12,
GAP,GAP_NON,E_F_E.4,NP1E_F,most of the boys study till Grade 12 (high school),
GAP,GAP_NON,E_F_E.4,NP1E_F,girls study till Bachelor Level,
GAP,GAP_NON,E_F_E.4,UZ3E_F,"Basically boys and girls in our district study until finishing college, its compulsory education in our country",
GAP,GAP_NON,E_F_E.4,UZ3E_F,then some of us want to continue,
GAP,GAP_NON,E_F_E.7,IN4E_F,Most of the girls here in our village go to school,
GAP,GAP_NON,E_F_E.43,IN4E_F,No young girl has ever migrated,
GAP,GAP_NON,E_M_E.4,IN7E_M,Both boys and girls study till class 12th,
GAP,GAP_NON,E_M_E.4,UZ3E_M,Everyone completes secondary education,
GAP,GAP_NON,E_M_E.4,UZ3E_M,Most continue education at colleges (vocational school),
GAP,GAP_WID,E_F_E.10,BD3E_F,My dream was to finish S.S.C then study nursing and pass and become a good nurse but my dreams were ruined.  I was married off before that,
GAP,GAP_WID,E_F_E.10,BD3E_F,My dreams disappeared after marriage because I didn?t continue studying,
GAP,GAP_WID,E_F_E.10,BD6E_F,that did not happen and marriage took place before that.,
GAP,GAP_WID,E_F_E.10,BD6E_F,I wished to be a nurse after completing my studies but I was married off prior to that,
GAP,GAP_WID,E_F_E.10,BD6E_F,I was married off before completing my education. I had a goal to be a teacher.,
GAP,GAP_WID,E_F_E.10,BD6E_F,"But because of marriage, that did not happen.",
GAP,GAP_WID,E_F_E.10,BD6E_F,I wanted to be a nurse but I was married off before that.,
GAP,GAP_WID,E_F_E.10,ET2E_F,I want to continue my education once I give birth.,
GAP,GAP_WID,E_F_E.10,IN3E_F,I quit studies at the age of 17 when I got married,
GAP,GAP_WID,E_F_E.10,IN3E_F,There are many students who are unable to achieve their dreams and have to drop out due to poverty,
GAP,GAP_WID,E_F_E.10,IN4E_F,But paucity of funds generally kills our dreams,
GAP,GAP_WID,E_F_E.10,IN4E_F,Sometimes the cultural societal norms also kills our dreams,
GAP,GAP_WID,E_F_E.10,IN9E_F,"We are still studying
	But we will all get married soon so we cannot do much",
GAP,GAP_WID,E_F_E.10,IN9E_F,We can dream of becoming XX or XX but in reality this will always remain a distant dream for girls of our village,
GAP,GAP_WID,E_F_E.10,IN9E_F,But of course we will always think that given the right opportunities we could have become engineers and doctors like the city girls,
GAP,GAP_WID,E_F_E.10,PK2E_F,R.3: It is impossible to think of becoming officer with 5th level of education and plan special goal because our parents set one goal for our future and that is marriage,
GAP,GAP_WID,E_F_E.11,BD3E_F,"Most girls from our village when they are done with their 8/9 grades, they get married.",
GAP,GAP_WID,E_F_E.11,BD3E_F,"those who leave studies because of poverty, their parents think now that they are out of school so they should get married and so they do",
GAP,GAP_WID,E_F_E.11,BD6E_F,Most of the women in our village are married off,
GAP,GAP_WID,E_F_E.11,BD6E_F,"the few girls, who stay with their parents after stopping education, help their parents",
GAP,GAP_WID,E_F_E.11,ET1E_F,"girls will support their families, in the farm and in the house",
GAP,GAP_WID,E_F_E.11,ET1E_F,engage in vegetable garden,
GAP,GAP_WID,E_F_E.11,ET2E_F,"some get married, there are some girls who go to XX.",
GAP,GAP_WID,E_F_E.11,ET2E_F,Here we see no hope.,
GAP,GAP_WID,E_F_E.11,ET4E_F,many young boys return to their families and engaged in farm tasks and a few go to the town to get hired as guard and return back to their family on school time,
GAP,GAP_WID,E_F_E.11,ET4E_F,"[How about community members or families want youths to do if they are not longer students]?  
P4: they need us to help them either in farm tasks or in household chores rather than leaving for job search in other town",
GAP,GAP_WID,E_F_E.11,IN1E_F,Girls dont work outside,
GAP,GAP_WID,E_F_E.11,IN1E_F,Girls help out their parents on their plot,
GAP,GAP_WID,E_F_E.11,IN1E_F,Boys work in the agricultural fields,
GAP,GAP_WID,E_F_E.11,IN1E_F,Some boys dont do anything; they just sit at the crossroads and eve tease,
GAP,GAP_WID,E_F_E.11,IN4E_F,Many boys have migrated for better work options,GAP_SML
GAP,GAP_WID,E_F_E.11,IN9E_F,"No, no girl works at the factory",
GAP,GAP_WID,E_F_E.11,IN9E_F,Most girls sit at home and then get married,
GAP,GAP_WID,E_F_E.11,NP2E_F,stay at home and help mother doing household works and agricultural activities,
GAP,GAP_WID,E_F_E.11,PK2E_F,R.2.: Mostly do the household works,
