indicator_id,classification_id,context_id,provenance,text_fragment,classification_id_rev
NRM_DIV,NRM_DIV_C,E_F_E.18,BD3E_F,"the teenage boys and girls, follow the tradition that there are separate works for boys and girls in the farm. Such as, generally, the girls are more interested in growing vegetables",
NRM_DIV,NRM_DIV_C,E_F_E.18,BD6E_F,there is different work for men and different work for women,
NRM_DIV,NRM_DIV_C,E_F_E.18,BD6E_F,males will work at fields and females will work at home,
NRM_DIV,NRM_DIV_C,E_F_E.18,BD6E_F,it is the responsibility of women to do household chores and working outside is the responsibility of men,
NRM_DIV,NRM_DIV_C,E_F_E.18,ET1E_F,"When the husband comes from wherever he was, he will sit and even expect to get served, she has no such leisure time.",
NRM_DIV,NRM_DIV_C,E_F_E.18,ET4E_F,"men are more responsible on manual tasks such as land preparation, tillage with oxen, sowing; winnowing and threshing. All these need heavy manual tasks and women are more responsible for activities that need less power",
NRM_DIV,NRM_DIV_C,E_F_E.18,ET4E_F,"men are more responsible on manual tasks such as land preparation, tillage with oxen, sowing; winnowing and threshing. All these need heavy manual tasks and women are more responsible for activities that need less power",
NRM_DIV,NRM_DIV_C,E_F_E.18,ET4E_F,we support our mothers at household chores and on farm when our mothers cut the bean or during peak farming seasons,
NRM_DIV,NRM_DIV_C,E_F_E.18,ET4E_F,men are mainly working on wheat and barely farms because it needs more power than cutting bean,
NRM_DIV,NRM_DIV_C,E_F_E.18,IN1E_F,Women dont work much in the fields; even the young girls mostly do not go to work,
NRM_DIV,NRM_DIV_C,E_F_E.18,IN1E_F,Young men do all the work their fathers do; they know all the agricultural activities including the machine,
NRM_DIV,NRM_DIV_C,E_F_E.18,IN1E_F,"There are some important facts we must keep in mind when we talk of what work men and women can do; for example women cannot drive a tractor, only men can",
NRM_DIV,NRM_DIV_C,E_F_E.18,IN4E_F,Men prefer to do those activities which can be performed by machines while women still like to do it manually,
NRM_DIV,NRM_DIV_C,E_F_E.18,IN4E_F,But most women are rolling bidis here and harvesting in the harvesting season,
NRM_DIV,NRM_DIV_C,E_F_E.18,IN9E_F,"Young women dont do any agricultural activities
	They have never done",
NRM_DIV,NRM_DIV_C,E_F_E.18,PK2E_F,"R.4: Yes, because this is our culture. Women are not directly involved in agriculture. Women mostly involve in storing of seeds, raring of cattles. And men do outside agriculture activities",
