indicator_id,classification_id,context_id,provenance,text_fragment,classification_id_rev
NRM_MOB,NRM_MOB_C,E_F_E.18,BD3E_F,"And the boys go to work in the fields, which the girls cannot do; because their parents or husbands do not allow them to do so. Even their parents-in-law restrict them for this; because it is a matter of reputation",
NRM_MOB,NRM_MOB_C,E_F_E.20,BD3E_F,"If a teenager girl wants to harvest and then sell the crops on her own, she cannot do it. Even if she is the owner of a land, then also she cannot produce and sell crops on her own, because her parents or her husband, neither of them would not allow her to go to the market",
NRM_MOB,NRM_MOB_C,E_F_E.20,BD6E_F,"If a woman tries to sell things that she produces, that will not be possible for her as her husband will not let her go to market",
NRM_MOB,NRM_MOB_C,E_F_E.20,BD6E_F,no girl goes to the market to sell things as it is not needed. Her husband does that for her,
NRM_MOB,NRM_MOB_C,E_F_E.20,IN4E_F,We hardly go anywhere,
NRM_MOB,NRM_MOB_C,E_F_E.20,IN7E_F,young women are not allowed to go even to the local market,
NRM_MOB,NRM_MOB_C,E_F_E.20,IN9E_F,Parents want their girls to stay indoors after school,
NRM_MOB,NRM_MOB_C,E_F_E.20,IN9E_F,So while they can help raise livestock at home they cannot go out to sell milk,
NRM_MOB,NRM_MOB_C,E_F_E.20,IN9E_F,But mostly young women are not supposed to work outside their home,
NRM_MOB,NRM_MOB_C,E_F_E.20,IN9E_F,Parents dont consider it safe for young girls to go out and do something on their own more so now when boys are drinking and doping so much,
NRM_MOB,NRM_MOB_C,E_F_E.20,PK7E_F,We cannot go to market. This is not our tradition.,
NRM_MOB,NRM_MOB_C,E_F_E.20,PK7E_F,we cannot go out to market for selling,
NRM_MOB,NRM_MOB_C,E_F_E.20,PK7E_F,We are not allowed to go to market.,
NRM_MOB,NRM_MOB_C,E_F_E.20,UZ3E_F,In some cases girls could face with some difficulties because of their age,NRM_MOB_N
NRM_MOB,NRM_MOB_C,E_F_E.38,BD3E_F,Girls of our age cannot roam around in the local market. There are a few restrictions. Their husbands and parents-in-law do not allow them in the market.,
NRM_MOB,NRM_MOB_C,E_F_E.38,BD3E_F,"After marriage, she is never at all allowed out, with any of her cousins, except her own brother. Because her husband or anyone else may suspect.",
NRM_MOB,NRM_MOB_C,E_F_E.38,BD6E_F,the family members also dont let her go there in the market lest she is dishonored.,
NRM_MOB,NRM_MOB_C,E_F_E.38,ET1E_F,she would get harassed by men on the road. She might even get raped in some instances.,
NRM_MOB,NRM_MOB_C,E_F_E.38,ET1E_F,She will not be as free as her brother. She needs to be careful.,
NRM_MOB,NRM_MOB_C,E_F_E.38,ET2E_F,if a woman has young kids she is not allowed to go to the market.,
NRM_MOB,NRM_MOB_C,E_F_E.38,ET2E_F,Women are moving from place to place if they go in a group or with men.,NRM_MOB_N
NRM_MOB,NRM_MOB_C,E_F_E.38,ET2E_F,if women walk after 6:00 Pm it is dangerous and open for violence.,NRM_MOB_N
NRM_MOB,NRM_MOB_C,E_F_E.38,IN1E_F,No women cannot go out alone,
NRM_MOB,NRM_MOB_C,E_F_E.38,IN1E_F,There are too many bad elements out there who can misbehave with them,
NRM_MOB,NRM_MOB_C,E_F_E.38,IN1E_F,Some boys have no work but to pass lewd comments and ogle at girls and parents therefore naturally fear for the safety of their daughters,
NRM_MOB,NRM_MOB_C,E_F_E.38,IN1E_F,Some girls are also scared to go outside,
NRM_MOB,NRM_MOB_C,E_F_E.38,IN1E_F,Their izzat (reputation) is at stake; girls themselves dont feel confident about going out alone,
NRM_MOB,NRM_MOB_C,E_F_E.38,IN1E_F,ek ke saath ek free mil jati hai i.e. boys think that they can feast their eyes on so many girls at the marketplace,
NRM_MOB,NRM_MOB_C,E_F_E.38,IN4E_F,No young women cannot move around freely,
NRM_MOB,NRM_MOB_C,E_F_E.38,IN4E_F,We cannot go alone to the market,
NRM_MOB,NRM_MOB_C,E_F_E.38,IN4E_F,Our safety is always a big concern,
NRM_MOB,NRM_MOB_C,E_F_E.38,IN7E_F,Girls dont go to the market,
NRM_MOB,NRM_MOB_C,E_F_E.38,IN9E_F,Girls dont roam around alone much,
NRM_MOB,NRM_MOB_C,E_F_E.38,IN9E_F,It is not easy for young women to move around alone,
NRM_MOB,NRM_MOB_C,E_F_E.38,PK2E_F,Never go alone to the market,
NRM_MOB,NRM_MOB_C,E_F_E.38,PK2E_F,To go alone to the market is not safe,
NRM_MOB,NRM_MOB_C,E_F_E.38,PK7E_F,No she will be confused. She will be scared.,
NRM_MOB,NRM_MOB_C,E_F_E.38,PK7E_F,We never go out,
NRM_MOB,NRM_MOB_C,E_F_E.39,BD3E_F,"After a girl marries, a big change is observed regarding this. Such as, before marriage, after school, a girl may visit the cosmetics store with her friend, but after marriage, going out somewhere without the husband?s permission may result in the breaking of a marriage",NRM_MOB_N
NRM_MOB,NRM_MOB_C,E_F_E.39,BD6E_F,"Before marriage, a girl can walk to get to her private tuition or to visit her friends. But after marriage, she cannot go anywhere alone.",NRM_MOB_N
NRM_MOB,NRM_MOB_C,E_F_E.39,BD6E_F,A married woman cannot walk alone around in a market.,
NRM_MOB,NRM_MOB_C,E_F_E.39,BD6E_F,"If she has to go to markets for any reason, she must be accompanied by her husband, or her father-in-law, or by her mother-in-law.",
NRM_MOB,NRM_MOB_C,E_F_E.39,ET1E_F,"yes, it is easy, she is protected because she has a husband. And if anyone touches her, that would be a big issue and a source of tension. Her husband even may kill the person who touches her.",NRM_MOB_N
NRM_MOB,NRM_MOB_C,E_F_E.39,IN4E_F,Even married women dont roam around freely,
NRM_MOB,NRM_MOB_C,E_F_E.39,IN4E_F,Her in laws and husband will not allow her to roam around alone,
NRM_MOB,NRM_MOB_C,E_F_E.39,IN4E_F,Young married women face the same restrictions as us,
NRM_MOB,NRM_MOB_C,E_F_E.39,IN7E_F,It depends upon her husband whether he allows her or not,NRM_MOB_N
NRM_MOB,NRM_MOB_C,E_F_E.39,IN9E_F,The story doesnt change much post marriage; she still has to listen to her husband and in laws,
NRM_MOB,NRM_MOB_C,E_F_E.39,IN9E_F,Before marriage a girl is under her parents thumbs while post marriage this role is taken by her husband; so things hardly change,
NRM_MOB,NRM_MOB_C,E_F_E.39,NP2E_F,because of in-laws it is difficult for married women to go out.,
NRM_MOB,NRM_MOB_C,E_F_E.39,PK2E_F,On her own going to market is risky,
NRM_MOB,NRM_MOB_C,E_F_E.39,PK2E_F,No safety and a lot of tension,
NRM_MOB,NRM_MOB_C,E_F_E.39,PK2E_F,To take any step alone will result in difficulty and embarrassment,
NRM_MOB,NRM_MOB_C,E_F_E.41,BD3E_F,"Because in our area, girls cannot go anywhere freely. Because then, both the girl?s and her family?s would be defamed.",
NRM_MOB,NRM_MOB_C,E_F_E.41,BD6E_F,"In the village, women cannot move freely alone.",
NRM_MOB,NRM_MOB_C,E_F_E.41,BD6E_F,Only the little aged teenagers can go to school or to private tuition alone but after marriage it is not possible.,
NRM_MOB,NRM_MOB_C,E_F_E.41,BD6E_F,There has to be her husband or someone else of the family with her. Women cannot move alone due to little security of them.,
NRM_MOB,NRM_MOB_C,E_F_E.41,BD6E_F,parents dont let their daughter go anywhere alone.,
NRM_MOB,NRM_MOB_C,E_F_E.41,ET1E_F,our families will not allow us to go out of the house for fear of being robed or raped.,
NRM_MOB,NRM_MOB_C,E_F_E.41,ET1E_F,"We are working with our mothers every single day for the whole day, they prefer to keep us home and help them.",
NRM_MOB,NRM_MOB_C,E_F_E.41,ET1E_F,"There are boys who would wait girls on the road and try to harass them, so our parents are afraid people will see their daughter with them.",
NRM_MOB,NRM_MOB_C,E_F_E.41,ET2E_F,Woman walking alone sometimes may get attacked by men and raped.,
NRM_MOB,NRM_MOB_C,E_F_E.41,IN1E_F,You will seldom find young single women roaming around freely in the market,
NRM_MOB,NRM_MOB_C,E_F_E.41,IN1E_F,They cannot for fear of miscreants,
NRM_MOB,NRM_MOB_C,E_F_E.41,IN1E_F,This is an absurd question because if parents dont let their daughters go alone to the marketplace then how can they let them migrate?,NRM_MOB_N
NRM_MOB,NRM_MOB_C,E_F_E.41,IN4E_F,We have already said that it is not easy for us to move around freely for safety reasons,
NRM_MOB,NRM_MOB_C,E_F_E.41,IN4E_F,This is a small village and young boys go out frequently for work and have learnt wayward ways and so our parents are always very wary for us,
NRM_MOB,NRM_MOB_C,E_F_E.41,IN9E_F,Boys are the problem and not girls; boys make it unsafe for girls to move around freely,
NRM_MOB,NRM_MOB_C,E_F_E.41,IN9E_F,Now parents fear more since an increasing number of boys are taking to drugs,
NRM_MOB,NRM_MOB_C,E_F_E.41,IN9E_F,Boys stand here and there in groups and pass obscene comments which makes it tough for girls to move around,
NRM_MOB,NRM_MOB_C,E_F_E.41,NP2E_F,because of our society it is difficult to go out,
NRM_MOB,NRM_MOB_C,E_F_E.41,PK2E_F,"No young women alone can go to common place, only old age women can visit",NRM_MOB_N
NRM_MOB,NRM_MOB_C,E_F_E.42,BD3E_F,"Going to work in the city alone would not be easy for any girl of this village.
Unmarried girls would not be allowed.",
NRM_MOB,NRM_MOB_C,E_F_E.42,BD6E_F,"If a girl gets a good job in the city and decides to go and live there, it will be hard for her to do that as her parents will not let her go easily",
NRM_MOB,NRM_MOB_C,E_F_E.42,BD6E_F,Girls of our village dont move outside XX.,
NRM_MOB,NRM_MOB_C,E_F_E.42,IN1E_F,The outside world is so bad primarily because of the bad boys who dont spare the girls,
NRM_MOB,NRM_MOB_C,E_F_E.42,IN4E_F,It is very difficult for a young woman to think of migrating before marriage,
NRM_MOB,NRM_MOB_C,E_F_E.42,IN7E_F,"No, girls cannot go outside the village",
NRM_MOB,NRM_MOB_C,E_F_E.42,IN9E_F,Most young men want to work in a city but young women will not be allowed,
NRM_MOB,NRM_MOB_C,E_F_E.42,IN9E_F,Young women cannot migrate for work,
NRM_MOB,NRM_MOB_C,E_F_E.42,IN9E_F,Young women dont have much freedom since society has many evil elements,
NRM_MOB,NRM_MOB_C,E_F_E.42,NP1E_F,easier for boys,
