data_container,transcript,quote or transcriber's summary
E.1    ,The result of private voting 5 04 13 62 31 0Total 10,transcriber's summary
E.2    ,"There are mainly three categories of households live in here. They are including; 1. The Upper class or Dhoni lok, 2. Middle Class or Moddho Bitto and 3. Lower class or Nimno Bitto or Gorib lok. Majority households are fall in Middle Class category that is why there are more votes casted in the step 3.",quote
E.2    ,"Many boys and girls face difficulties after completing SSC exam. Many parents cannot provide financial support further for higher education. As a result, many students cannot continue their study. These parents have limited capacity for many major life decisions.",quote
E.2    ,We think most people of our village fall at step 3. These people are working hard all the time and trying to enhance their economic position.,quote
E.2    ,These people cannot take all major life decisions but in some respect they do. Their income is limited and they always struggle to live with their limited income.,quote
E.2    ,Most parents arranged their daughters and sons’ marriage early. But now some parents having with economic solvency are trying to provide support their daughters’ study for up to HSC level and sons’ study for further a higher level.,quote
E.2    ,Most boys and girls depend on parental decision for their marriage.,quote
E.2    ,We receive monetary support from our parents in every respect. Some youths migrated abroad with family and relative’s support. Some parents sold land for paying their son’s migration costs.,quote
E.2    ,"Actually, more people fall in the middle and lower middle categories. So, their power and freedom for making decisions are surely limited but they have some power for some major issues.   ",quote
E.2    ,"Some parents want to educate their children but cannot continue to do so due to their predominant poverty.  For this reason, most parents in this step feel insecure for their daughter. So, they arrange their daughter’s marriage early and send their son to agricultural work.",quote
E.2    ,"These people have limited access to modern agricultural facilities, knowledge and information to nearby person or institution.    ",quote
E.3     ,Education is the backbone of a nation. It is impossible to move without education. Knowing how to sign is the minimum requirement when someone gets married. Bride’s also asks the level of education to the prospective groom’s party.  If one cannot fulfill this condition he doesn’t have better marriage prospect nowadays and also fall in shame at marriage party.,quote
E.3     ,All the participants showed the necessity of education /schooling. We think we can get good job if we have higher education. Some may obtain it but others don’t have.,quote
E.3     ,Education is also necessary for all doing good agricultural farming. [All participants are agreed].      ,quote
E.3     ,Necessity of education is must for all of us. For obtaining any job or getting information there need to have minimum qualification. For starting a petty trade someone has to keep accounts.,quote
E.3     ,Education always enlightens and enhances confidence to people. We think going to school is the first step so; it is must to send children to school.,quote
E.4    ,"The sons of upper class households are studying at various universities nowadays. Some youths have already completed their Honours and Masters Degrees from our village. Many youths from middle class households have been studying in local colleges for general graduation.  After appearing SSC (Secondary School Certificate) exam, about 30 to 40 percents youths cannot continue their education for various reasons. Youths are interested for higher education but parents cannot support them for inadequate economic solvency.",quote
E.4  ,Most girls can complete up to class eight and at this level their parents arrange marriage.  But more girls are obtaining SSC degree nowadays compared to 10 years ago.,quote
E.4  ,Still about 80 percent girls have to seat at marriage during class VII to X. This is general phenomenon here for girls.,quote
E.4  ,Eighty percent girls got married by their 15 years. And the rest 20 percent girls get support from their parents for higher education and professional degrees as well.  ,quote
E.5    ,"I think each and every boy should complete at least HSC to Masters Degree if possible. Then they can contribute for his family and for the society.  And for the girls, they should have completed at least HSC.  At this level, they can understand what is good for them next.  ",quote
E.5    ,"At present, the girls must have completed SSC and if possible they should have also higher degrees.  ",quote
