data_container,transcript,quote or transcriber's summary
,"Module 1:  Agency, education and innovation (1 hour)",
E.1,Ladder of Power and Freedom Power and  freedom to make almost all major decisions in life 0Power and  freedom to make many major decisions in life 0Power and  freedom to make some major decisions in life 2Only a small amount of power and freedom 7Almost no power or freedom to make decisions 0,Transcriber’s summary
E.2,Now our mothers also support us more; earlier our mothers and aunt could never speak up in front of their fathers and brothers,quote
E.2,We are more exposed and aware since we go to school and we have a little more courage,quote
E.2,But we are still a little scared,quote
E.3,It is definitely useful since it teaches us the difference between right and wrong,quote
E.3,Nobody ever loses from education,quote
E.3,Times are such that women should at least be grade 12th pass so that if need be they can support their families,quote
E.3,Here college is too far and there is no mode of transport and our parents are concerned about our safety and hence many of us drop out after grade 8th ,quote
E.3,Boys also are largely to be blamed for girls dropping out; they stand in groups and pass comments,quote
E.3,We see on TV how women have progressed and do so many good things and earn so much money,quote
E.3,Our parents think that they should marry us and that if we want to continue our education then we can do so post marriage,quote
E.4   ,Boys can study as much as they want and as much as their parents can afford,quote
E.4   ,After all they don’t have to worry about eve teasing and such related issues,quote
E.4   ,Boys complete their bachelors,quote
E.4   ,The maximum a girl is allowed to study is till grade 10th and then she gets married,quote
E.4   ,Parents also think that boys will get better jobs if they are more qualified and then will send money home to them,quote
E.5,They should be allowed equal opportunity of education for both of them,quote
E.5,Girls are more hardworking than boys and will do far better if only they are a given a chance,quote
E.5,Parents should not be partial to sons,quote
E.6,"No, they are partial to sons; girls are considered “paraya dhan” i.e. someone else’s wealth (they will get married and go to someone else’s home)",quote
E.6,Even if girls go to college and get good jobs it will her in law’s family that will benefit and so parents do not see any point in educating us,quote
E.6,Now things are only slightly better since some families want educated daughter-in-law,quote
E.7,Young boys start working in their fathers’ fields very early and do almost all activities right from digging to planting etc,quote
E.7,Young girls don’t go out to work on the fields; we mostly help our mothers at home,quote
E.7,The issue relates to their safety; parents consider them stay indoors,quote
E.7,"However, in some very poor families, daughters also help out and work as agriculture labour",quote
E.8,Reasons for ending educationIf boys get into bad company then are made to drop out and help their fathers at workSimilarly if boys/girls bunk classes and waste their time Sometimes girls get involved with boys and parents get furious and take them out of schoolSome boys/girls drop out because their parents cannot afford them to continueSometimes girls have to discontinue their education once they get marriedSome boys/girls simply don’t want to continue ,Transcriber’s summary
E.8,Two most important reasons for GirlsMarriagePoverty,Transcriber’s summary
E.8,Two most important reasons for BoysBad company and bad habits including love affairsPoverty,Transcriber’s summary
E.9,Two most important reasons for girls  Marriage Poverty,Transcriber’s summary
E.9,Two most important reasons for boys  Bad company and bad habits including love affairs (which is a taboo in this society)  Poverty,Transcriber’s summary
E.10,We will get married once we finish grade 10th     ,quote
E.10, I got married but subsequently wanted to continue my studies but my husband and in laws did not agree (this respondent is married),quote
E.11,Boys help out their parents in the fields or start working as agricultural labour,quote
E.11,Some men have migrated to work whereas some go to nearby town and work on daily wages,quote
E.11,Girls help out with household work and take care of younger siblings and also elderly and then they get married,quote
E.12,They should both be allowed study,quote
E.12,They should teach and help out younger children,quote
E.12,They should work and help out their families eke out a better living,quote
E.13,"New practices or technologies or information/knowledge RotavatorZero tiller for sowing and fertilizingImprovised “Honda” machine for irrigatingUse of hybrid seeds like 343, 464 and 502Reaper machine for harvesting",Transcriber’s summary
E.13,Most important for the [sex of the FGD] of the community (top 2) Reaper“Honda” machine,Transcriber’s summary
E.13,Most important for the [opposite sex of FGD] of the community (top 2)Zero tiller Hybrid seeds,Transcriber’s summary
E.14,Two most important for women: Reaper and Honda machine. ,Transcriber’s summary
E.14,Women generally do not do many agricultural activities. Their work in mostly limited to harvesting and this is where the reaper machine comes in very handy since it is much quicker and therefore saves a lot of time. Earlier when traditional methods of sowing were used then women were involoved in “chitavidhi”. But now zero tiller and rotavator are used which are big bulky machines for sowing and therefore only men do it. ,quote
E.14,Sometimes women also water their own fields especially now that it has become easier to draw water through pipes connected to “Honda” machine. It takes about 45 minutes to water 1 acre of land as compared to two-three that it took before. There are a lot of these machines in our village.,quote
E.14,Two most important for men: Zero tiller and hybrid seeds,Transcriber’s summary
E.14,Hybrid seeds give higher yield and men prefer to use them for this reason. Zero tiller and also rotavator have made men’s lives much easier. However there are only two zero tillers in our village and most of us use it on rent. ,quote
E.15,"No, men and women do not have same opportunities whether in education or work. Men begin helping their fathers in the fields very early. They know everything that is to learn about farming.",quote
E.15,       Girls are not allowed to go to the fields; they are supposed to help their mothers at home. Fields are also not considered very safe place.,quote
E.15,        Our parents don’t take breathe easy till they get us married.,quote
," Module 2.  Gender norms, livelihoods, and family formation (1 ½ hours)",quote
E.16,Important wheat innovation for [sex of FGD] NowReaper for harvestingHonda machine for irrigatingHybrid seeds,Transcriber’s summary
E.16,Important wheat innovation  for [sex of FGD]10 years agoSowing by “chita vidhi” (sprinkling by hand)Vegetable cutter (hansua) was used for harvesting the cropWomen use to mix pesticides with water in a bucket,Transcriber’s summary
E.16,"We grow wheat, corn, paddy, different types of pulses (moong, massor, chana etc), vegetables like peas, coriander, garlic, potato, tomato, cauliflower etc.",quote
E.16,Now we have a new breed of “jersey” cow which gives 15 litres milk much more than the local cow.,quote
E.17,Sometimes people come from outside and hold meeting in our village which is attended by the community men. They discuss many things there.,quote
E.17,"We don’t go to these meetings but are told that lot of new things are discussed, mostly new ways of doing agriculture.",quote
E.17,Sometimes we ask our husbands and they tell us that those who come from outside are scientists who are researching on new and more productive ways of farming,quote
E.17,We can also see some new things like the zero tiller.,quote
E.17,Our men are also more eager to learn and those with money are also willing to adopt and many follow these early adopters.,quote
E.18,Young women hardy work on the fields.,quote
E.18,But our mothers mostly do harvesting and sometimes they water the fields,quote
E.18,It is mostly the men who do farming,quote
E.18,But young girls from very poor families go with their mothers to work as agriculture labour.,quote
E.18,Women cannot use heavy machines,quote
E.19,"Women will face many different types of difficulties, especially if they were to grow wheat, corn or paddy since these are traditionally grown by men.",quote
E.19,Young women do not grow anything; we sometimes help our mothers in the vegetable gardens,quote
E.19,But going to the market and selling is unthinkable. Our parents would be furious.,quote
E.19,We would also be lost in the market not knowing what to do; we may get cheated also,quote
E.19,Markets are male domain.,quote
E.20,"It would be very difficult to grow wheat, corn or paddy entirely on their own since lot of heavy work is required to grow these.",quote
,Apart from harvesting these crops women do not do much at least with these crops,quote
,Shopkeepers also buy only from known farmers and hence they would all be reluctant to buy from women,quote
,Markets are too far and therefore much tougher for women to go,quote
,Then men go the block office if they need some help or information; we have never been there and probably no would listen to us there.,quote
E.21,Usually families have a single plot; sometimes brothers have different plots,quote
E.21,Usually roles are defined but in peak season of sowing and harvesting sometimes families sit together and distribute work amongst themselves,quote
E.22,Husbands and wives don’t have separate plots and wives generally tend to help their husbands on their plots,quote
E.22,Some men also work as casual labour and their wives pitch in on their plots; they do watering and sometimes weeding,quote
E.22,But harvesting is one season in which almost all women can be seen in the husband’s fields and also on other’s fields.,quote
E.23,Women don’t any plots. Sometimes fathers and even mothers help out on their sons’ lots.,quote
E.23,Sometimes when the crop is very good then brothers also help out each other with the extra workload,quote
E.24,Generally men decide what to grow but sometimes their parents and wives also make suggestions,quote
E.24,Women decide what to grow only in their vegetable gardens but there also if they wanted to plant something new they would have to ask their husbands,quote
E.24,They may also need to ask their in laws for permission,quote
E.24,Some more courageous women may also consult neighbours or even shopkeepers,quote
E.25,"Adam will not let her join, no questions asked.",quote
E.25,He will tell her she will be cheated in the market and will end up with huge losses and that she should let him continue selling her produce,quote
E.25,He will not mind much if she restricts her activities in the group to growing but she definitely cannot go to the market,quote
E.26,Ana simply cannot sell. Period. Her husband will not only be offended but may forbid all her farming activities.,quote
E.26,Ana will not propose the idea of selling herself since she already knows the answer,quote
E.26,Roles are traditionally defined in our society; women are subservient to their husbands; they may fight their in laws but not their husbands,quote
E.27,"Yes, he will ask for less help especially if her vegetables are growing well",quote
E.27,Plus he will make allowance for the fact that she is also doing all the household work apart from working growing her vegetables,quote
E.27,But we wish things were a little different and women’s roles and rights changed a bit; women seem to have advanced so much in the cities but the story in our villages still remains largely unchanged,quote
E.28,Women will be very proud of her,quote
E.28,They will respect her for fighting against all odds and standing up for herself,quote
E.28,Men may not appreciate her guts though and will make fun of her,quote
E.29,It will be very tough for Mark since he is doing a woman’s work,quote
E.29,"Yes, his reputation will suffer more than Mary’s; people will call him a loser and such bad names",quote
E.29,His friends will keep a distance from him,quote
E.30,He will be very happy; he had trusted her enough to let her go out and grow and sell her own crop and he will feel proud that she kept his trust,quote
E.30,He will appreciate her more and encourage her further,quote
E.31,We think of Mark!! He respects his wife and treats her at par,quote
E.31,If women are treated better and their voices heard more then it will boost their confidence,quote
E.31,Women are also human beings and we create lives yet that seems to be the only important role we play in our husbands lives,quote
E.31,"It would make us feel so good if we could go to college, roam around and do all those things that we are prohibited from now",quote
E.32,David will let Diana decide about how much to keep and how much to sell,quote
E.32,"Yes, she knows how is required to feed her family",quote
E.33,Definitely David though we wish Diana could sell too.,quote
E.33,But Diana will not mind if her husband sold; she would rather want that he sell it since she hands are already full,quote
E.34,They are both doing agriculture and so they will discuss it and David should not have much problem since his wife is also a farmer and so he will trust her judgement,quote
E.34,Why would he resist if ultimately it will benefit their crop and add to their family income?,quote
E.35,Very Easy  0Easy 0Neither Easy nor difficult 0Difficult 8Very Difficult 1,Transcriber’s summary
E.36,Women are raised in such a way that they can never dream of defying their husbands,quote
E.36,So Diana will not expand her garden unless David agrees to it,quote
E.36,She fears that if she goes against him then he may kick her out of his home,quote
