data_container,transcript,quote or transcriber's summary
,"Module 1:  Agency, education and innovation (1 hour)",
E.1,Ladder of Power and FreedomSTEP 5 0STEP 4 0STEP 3 5STEP 2 3STEP 1 0,Transcriber’s summary
E.2,We are not able to take many important decisions because we are not married,quote
E.2,To take the right decision we need to become fathers because that brings maturity,quote
E.2,Our parents tell us to concentrate on our studies,quote
E.2,Since our fathers take care of us so what is the need for us to take any decision,quote
E.2,We can take decisions related o our studies but only in consultation with our parents,quote
E.2,We do all the different types of agricultural activities but still we don’t take any decision since our parents are more experienced than us,quote
E.2,Sometimes we participate in the decision making process,quote
E.3,Education is a must and we all go to school,quote
E.3,We go to school for knowledge so that we can build our future,quote
E.3,If we are educated then we can give better future to our children,quote
E.3,Education is important to conduct ourselves better in our day to day activities and in managing our families,quote
E.3,Educated people are well mannered,quote
E.3,Educated people sign where the illiterates out their thumb impression,quote
E.3,I want to study a lot and make my family and my community proud,quote
E.4,80% of the boys study till grade 12 and 95% of the girls study till grade 10.,quote
E.4,5% of the girls study till grade 12 and 5% of the boys complete their bachelors,quote
E.4,College is about 18 kms from our village and so girls are unable to commute that far,quote
E.4,Girls don’t have cycle; they don’t know how to ride a cycle,quote
E.4,Many boys and girls don’t go to school because of poverty,quote
E.4,Parents always fear that boys may misbehave with their girls,quote
E.5,Boys should complete their bachelors and girls should finish grade 12,quote
E.5,Sometimes girls get married after grade 10/12,quote
E.5,Sometimes poor people decide not to send their daughters to school,quote
E.6,No parents think differently when it comes to educating their daughters and sons; they are more concerned that their sons study hard and complete their education,quote
E.6,Parents also worry about eve teasing and such safety issues especially since the college is so far off,quote
E.6,Poor people prefer to send their sons to school since they cannot afford to send both their sons and daughters,quote
E.6,They also think that sons will get good jobs post studies and support them,quote
E.7,Boys do all agricultural activities from planting to harvesting,quote
E.7,Girls don’t go the field; they stay at home and help with household chores,quote
E.8,Reasons for ending educationPovertySome boys just don’t want to studySome boys just want to share the work overload of their parentsGirls discontinue because of lack of transport facilitiesGirls get married early  Transcriber’s summary,Transcriber’s summary
E.8,Two most important reasonsBoys:Poverty and work overloadGirls:Lack of proper transport and early marriage,Transcriber’s summary
E.9,Boys: Poverty and work overload,Transcriber’s summary
E.9,Girls: Lack of proper transport and early marriage,Transcriber’s summary
E.10,I want to be a teacher,quote
E.10,I want to be a doctor,quote
E.10,Most of us want good government or private job and be able to support our families,quote
E.10,,quote
E.11,So many boys are doing nothing but agriculture,quote
E.11,They are working as labor,quote
E.11,Some have set up their business while some have migrated to other states,quote
E.11,Girls generally help at home and then get married,quote
E.12,“kheti hee yahan to gaon mein” (there is only agriculture here),quote
E.12,But we should be able to start out own business; banks should help with the loan,quote
E.12,We should get good jobs; government jobs; otherwise what is the point in studying,quote
E.12,Girls should also be allowed to finish their studies and work,quote
E.12,Why should girls work; they should take care of their home,quote
E.13,"New practices or technologies or information/knowledge Zero tillerSpray machine (for fertilizers)TractorRotavator“Jaivik” fertilizersHybrid seeds like 343, XX nation, ankur“complain” for harvesting wheat",Transcriber’s summary
E.13,Most important for the [sex of the FGD] of the community (top 2) Zero tillercombine,Transcriber’s summary
E.13,Most important for the [opposite sex of FGD] of the community (top 2)combine,Transcriber’s summary
E.14,For Men: Zero tiller and “combine” are importantIt is physically less demanding Saves on labor cost and it is much fasterProduction is more,Transcriber’s summary
E.14,For Women: “Combine” as women usually are only associated with harvesting of wheat,Transcriber’s summary
E.15,"No, young women are kept very protected by parents; they hardly step out of house once they are pass class 10",quote
E.15,Girls do some work in the fields during winter but never during summer,quote
E.15,The cultural norms of the society does not allow young girls to move around freely or work.,quote
E.15,Lot of these problems are rooted in safety concerns,quote
," Module 2.  Gender norms, livelihoods, and family formation (1 ½ hours)",
E.16,Important wheat innovation for [sex of FGD]  NowZero tillerRotavatorJaivik FertilizerHybrid seeds,Transcriber’s summary
E.16,Important wheat innovation  for [sex of FGD] 10 years agoZero tillerHybrid seeds,Transcriber’s summary
E.17,Difficult to say what brought about these changes,quote
E.17,Today lot of people come to the village from outside and hold meetings where they tell people about new developments in agriculture,quote
E.17,Sometimes they have practical field demonstration,quote
E.17,XX is spreading a lot of awareness,quote
E.17,Once one person tries and experiences the benefits then others also jump on the bandwagon,quote
E.18,"Yes, roles are clearly defined",quote
E.18,But mostly men do all agricultural activities; women are only involved with harvesting and sometimes spraying fertilizers,quote
E.18,But young girls don’t do any work in the field,quote
E.18,Young boys also only help out their elders but they mostly know all the activities whereas girls don’t,quote
E.18,Sometimes girls help in digging (filed preparation) in corn cultivation,quote
E.19,Girls are very delicate; they will not be able to work in scorching sun,quote
E.19,How can they sell; their parents don’t send them to school after class 10; how would they allow them to grow and sell anything!!,quote
E.19,Girls have no knowledge of agriculture,quote
E.20,We (young men) know everything about agriculture as we help our parents in the fields,quote
E.20,But it interferes with our study,quote
E.20,But we are not as experienced as our fathers and therefore we cannot do it all by ourselves; we need our parents to guide us,quote
E.20,But we will be allowed to do and we can do,quote
E.20,In fact selling will be no problem for us,quote
E.20,But money will be a problem,quote
E.21,Usually families have one single plot; our fathers take all decisions,quote
E.21,Sometimes women maintain small kitchen gardens in their backyard for which not much money is required and they usually grow vegetables for home consumption,quote
E.21,But decisions are almost always taken by our fathers,quote
E.21,Selling is always men’s domain,quote
E.22,Men and women don’t have separate plots; there is one single plot and wives mostly help their husbands,quote
E.22,Sometimes men get plots registered in their wives’ names so that there are no fights over property distribution,quote
E.22,Women are generally found working in the fields during the harvesting season ,quote
E.22,and also during sowing season if using “chita vidhi” i.e. sowing by broadcast method,quote
E.23,Most household members willingly help out whenever required but on men’s plots; women don’t have separate plots,quote
E.23,Those women with kitchen gardens take care of it themselves; men may sometimes help out a little when their wives are busy,quote
E.24,A woman must most certainly consult her husband before doing anything and she must also ask her in laws or other elders,quote
E.24,Men don’t need to ask their wives but they consult their elders,quote
E.25,Adam will not mind much because she will be doing it with a group of women,quote
E.26,If women go in groups then Adam may allow Ana to go,quote
E.26,What is need for Ana to go if Adam is around,quote
E.26,Ana will find it very difficult if she goes to the market; it will be better if Adam goes,quote
E.26,Society is not very kind to women stepping in men’s domain and Adam will only want to protect Ana,quote
E.26,Ana will not be able to fetch the right price herself,quote
E.26,Men and elders say “bahar jayegi to izzat gir jayegi” i.e. Ana will demean herself and earn bad reputation if she ventures out to the market,quote
E.26,There may be bitter fights over this issue if Ana insists that she be allowed to go,quote
E.27,"Yes, Adam will understand because Ana also has to take care of all the household work",quote
E.27,Given that women only help with harvesting so Adam does not require much help from his wife,quote
E.27,But she will have to help if it is the harvesting season,quote
E.28,People will speak badly of her character for donning the man’s mantle,quote
E.28,People will make fun of her and her husband,quote
E.29,You must be kidding (laughing)!! He is not man enough to stay at home and cook and clean,quote
E.29,It all depends upon the social customs of the village,quote
E.29,What social customs; such a thing is bizarre; they may both work but how can the husband do household chores,quote
E.29,Elders of the village will not be kind towards this man; he will be ridiculed by all,quote
E.30,“pati babuji babuji karke bulayega usko” (Husband will call her “Sir”),quote
E.30,Community will also praise her,quote
E.30,People will say that she if taking care of her family and fulfilling her responsibilities well,quote
E.31,Gender equality means equal treatment of men and women in every field including education and work opportunities,quote
E.31,It means we respect our women,quote
E.31,“Jitna beta ko man samman dete hain utna hee beti ko bhi dena chahiye” ( both sons and daughters should be treated equally),quote
E.31,Women are not given equal property rights but they are given dowry during marriage,quote
E.31,When married women come visiting their parents they are pampered a lot ,quote
E.32,Women cook at home and know how much is needed to feed their family and David will let her take that decision,quote
E.32,But they will surely discuss it and things may become heated if David does not agree with her,quote
E.32,But David will not have problem so long as Diana has some extra produce to sell in market,quote
