data_container,transcript,quote or transcriber's summary
,Interview Guide. Activity E. FGD:  Aspirations of Youth,
,Activity E. FGD:  Aspirations of Youth,
,"Module 1:  Agency, education and innovation (1 hour)",
E.1    ,Step5: Power and Freedom to make most all major life decisions Step4: Power and Freedom to make many major life decisions Step3: Power and Freedom to make some major life decisions 2Step2: Only a small amount of power & freedom 2Step1: Almost no power or freedom to make decisions 4,Transcriber’s summary
E.2    ,R 7-6 I am from well off family and have our own farming lands. We hire labor to work on our farming fields for wages.,quote
E.2    ,R 1 We have no authority in our village. Our husbands decide the matters.,quote
E.2    ,"R 6 After army operation and war, our condition never improved.",quote
E.3     ,R.1 I am interested to get more education but the level of school is up to primary. Our men never allow to go to school in outside areas.,quote
E.3     ,Our mind is such that we do not understand anything.,quote
E.3     ,"When XX goes to school, we also want to attend school but we cannot.",quote
E.3     ,"R.3 When parents urged upon us in childhood to go to school, we had used different tactics to dodge them and remained away from school.",quote
E.3     ,"R.4 When we remained absent from school, teacher gave us punishment and when we went to farming fields, parents became angry with us, so we hid during the school timings in other places.",quote
E.3     ,"R.7 There was no one to encourage us. Due to teachers’ punishment, we were fed up from going to school.",quote
E.3     ,"We were also not in favor of going to school due to punishment, but it became worse when the school was set on fire by someone.",quote
E.4    ,"Upto 8th class. For further education, went to XX Town to complete.",quote
E.4    ,Some boys have completed their education up to BA level who have resources and transport.,quote
E.4    ,All girls’ response was that they studied up to primary level.,quote
E.5    ,R 4 Minimum education for girls should be upto matric level to take care of their children in future.,quote
E.5    ,"R 3 I have still the ambition to get education and become teacher, doctor etc.",quote
E.5    ,R 2 I want colleges and universities and that everyone gets higher education.,quote
E.5    ,"R 3 Whatever the doctors and teachers said, I want to sell all things and property and to get education and have prosperous life.",quote
E.5    ,R 7 I also still want to get education and start writing as you people just write now.,quote
E.5    ,R 2 Those who work in their fields taking their own loaf but those who have employee are taking other people provided loafs.,quote
E.5    ,R 8 I stress upon my younger sister to get education otherwise you will have remorse and nothing else.,quote
E.6    ,R 3 Our parents urged more upon boys than girls to get education. They need their sons more than girls.,quote
E.6    ,"R 5 My parents warn both boys and girls now and then to get education, but I take no interest in education.",quote
E.6    ,"R 2 My parents allowed to get education to whatever level I want. My parents said that despite of the fact that girls have to go to another house, but at least my personal life and future family will have benefits from it.",quote
E.6    ,R 4 I have good job and reasonable salary to have improved condition at home as well as individual development.,quote
E.6    ,R 3 Yes girls have the opinion that they are to be married and will have to go to another house.,quote
E.6    ,R 1 My brother during the school days put my uniform in his bag and took it to school but my school teacher told me not to worry and come to school in home dress.,quote
E.7    ,"R 1 I learn from my mother the work of tailoring, stitching, design, to keep wheat in safe warehouses and household affairs in better way.",quote
