data_container,transcript,quote or transcriber's summary
,Interview Guide. Activity E. FGD:  Aspirations of Youth,
,Activity E. FGD:  Aspirations of Youth,
,"Module 1:  Agency, education and innovation (1 hour)",
E.1    ,Step5: Power and Freedom to make most all major life decisions 1Step4: Power and Freedom to make many major life decisions 3Step3: Power and Freedom to make some major life decisions 2Step2: Only a small amount of power & freedom 2Step1: Almost no power or freedom to make decisions ,Transcriber’s summary
E.2    ,R.2. There are some decisions we can take but some are taken by our elders.,quote
E.2    ,R.1. Our elders are there and we cannot decide things in their presence as we are on step.,quote
E.2    ,"R.3 My father is the chairman of the village and take all types of decisions in the community, so we cannot take any step without his permission.",quote
E.2    ,R.7.  We have garden and I myself take the decisions regarding it. I decide about other things also,quote
E.2    ,R.5. We are not so mature and cannot decide important matters. Only decision that are less important can be taken by us.,quote
E.3     ,"R.2.  Education is very important but people cannot afford the expanses to get education, people work on wages and cannot bear the expenses.",quote
E.3     ,R.3.  Education is must for us. People here are in a desperate position and cannot afford the transport expenses.,quote
E.4    ,"R.2. Mostly up they get education until 8th grade, afterwards they end their education due to poverty.",quote
E.4    ,R.1. Majority of the children get 8th grade education and the biggest reason is that our village only have middle level school.,quote
E.4    ,"R.5. beyond 8th grade they can not continued due to the less resources and financial condition, parents don’t afford to send their children to far away schools. The community people also don’t allow their girls to school situated in distant areas.",quote
E.4    ,R.1. Usually females don’t get education because our society doesn’t allow them to study in school.,quote
E.5    ,R.4. I personally think the technical education shall be given to the boys so they get the skill and are able to find better employment opportunities.,quote
E.5    ,R.5.  If master degree level education is available here then some percentage of the people will get jobs.,quote
E.5    ,"R.7. Education is more important for girls because they will educate their kids and in this way, we will have a good generation of new educated people.",quote
E.6    ,"R.5.   How can we show commitment, when the girls are not allowed to go for education to distant areas by the society and is considered against the culture..",quote
E.6    ,R.6. Here people do not want that girls get education beyond higher level.,quote
E.6    ,"R.2.  Education up to higher level is must for girls ,because they can easily get jobs on higher wages and have more chances of promotion. ",quote
E.6    ,R8. They are in favor of girl’s education but there is no good institute to provide higher education for girls. They cannot afford the education expenditure of the institutions of city.,quote
E.6    ,R7. What a female can do with the education apart. It is considered very odd for the girls to get education.,quote
E.7    ,R.7. There is no institution in our village that provide agriculture know how. They learn from their parents.,quote
E.7    , R.5.  I think the young boys are not interested in learning different agricultural activities .,quote
E.7    ,R.2. Boys learn their traditional ways of farming and other knowledge about cropping from the community farmers.,quote
E.7    ,R.1. The boys work in the fields and work with the elder in the fields so they learn all the farming methods..,quote
E.8    ,R.7. because the schools are far and there are no transport facilities.,quote
E.8    ,R.2. it is usually the low income of the majority of the people.,quote
E.8    ,R.1. There are no high schools in the village so far.,quote
