data_container,transcript,quote or transcriber's summary
,Interview Guide. Activity E. FGD:  Aspirations of Youth,
,"Module 1:  Agency, education and innovation (1 hour)",
E.1    ,,
E.2    ,"Opinions are divided between step 4, 3,2 and 1.",Transcriber’s summary
E.2    ,"- I consider myself in 4th stage because I have power and freedom to make many major life decisions as to enter the colleagues, to graduate the university, to get the profession that I wish, to get marry to the person that I will love. But there are a few women who are at the same stage as me, mainly women in village remain in 1 st stage; for example  I know at least three girls that do whatever say their brothers, they have not their own choice and voice.",
E.2    ,"-But in my opinion women in this society in 3rd step, because all my girlfriends are similar to me. I have freedom and rights to make some major life decisions but I cannot forget my parents, I consult with them before doing important decisions. ",
E.2    ,"-I am in step 2 because I’m too young to decide something without my parents, they know life better than I do and I totally believe in their right decision. ",
E.3     ,"Of course it is useful; education gives the status in society. Educated people have higher IQ than not educated, and knowledge and skills will for sure help to us to find our ways, to reach the goals, and to live easier and more comfortable. ",
E.4    ,"Many boys study till 8th grade then they become passive and the shift to work, computer games, internet or mobile phones or they have friends who support their bad attitude toward the school.",
E.5    ,"If there are talented students they should have the chance to study in universities/institutes and go further, but if they are not whether they should study hard to be enrolled or they should work. Village environment actually requires secondary school education(professional colleagues).  ",
E.6    ,"Yes, last two years girls started to study more than boys therefore parents also started to support such talented girls, they understood that if girls have had the same support as boys they would succeed more than boys could.  ",
E.7    ,"To plant vegetables as potato, carrot, cucumber and etc., learn how to manage with cotton, wheat, and flowers, especially they are interested in planting different types of flowers because girls love flowers. ",
E.8    ,Reasons for ending education? Not good friends?  Family condition ?  Outside interferences,Transcriber’s summary
E.8    ,Two most important reasons2 family condition1(outside interferences),Transcriber’s summary
E.9     ,"As we told boys are vulnerable, quickly become accustomed to outside interferences: computer games, mobile phones, internet and they totally forget about school; however, there are cases when boys need to work and leave the school to help mother, it may happen when father dies or some of the member is invalid. ",
E.10    ,"-Yes, I want to enter to the university if I don’t pass the exams I want to be an accountant.",
E.10    ,-I want to become mathematics/physics teacher.,
E.10    ,-I want to be dresser maker,
E.10    ,"-I want to be poetess, I already wrote the letter to my favorite writer to give me some advices.",
E.11    ,Majority students expressed their high interests to continue the study.,
