data_container,transcript,quote or transcriber's summary,
,Interview Guide. Activity E. FGD:  Aspirations of Youth,,
,"Module 1:  Agency, education and innovation (1 hour)",,
E.1    ,Rating voting was as following:Step 1 – 1 personStep 2 – 1 personStep 3 – 4 personsStep 4 – 4 personsStep 5 – none,Transcriber’s summary,
E.2    ,"I am not fully free to make my own decisions as I am still dependent on my parents for money and housing, but I plan to be independent by age 22",,
E.2    ,I earn my own money as carpenter which gives me opinion I am at Step 4 now.,,
E.2    ,I am on Step 3 as my parents are supportive and agree to my decisions like my plan to study to be a doctor.,,
E.2    ,"At our age it is difficult to have power and freedom to make decisions about our life, I am surely at Step 2.",,
E.3     ,"Yes, undoubtedly, without education we will be a small drop in river,",,
E.3     , but with education we will be one of few thousands in our respective sectors. ,,
E.3     ,"Educated people can make career, more money, move to cities and even find a job in foreign countries. ",,
E.3     ,"School or even education is not enough though, university level education is a way for future success.",,
E.4    ,Boys are required to finish school and college,,
E.4    , altogether it takes 11 years.,,
E.4    ,Girls are also required to finish school and college.,,
E.5    ,Boy and girls should finish at least college to be able to find a job in our village. ,,
E.5    ,University level is really good for boys as they can start career in cities even in XX. ,,
E.6    ,"Usually yes, same commitment.",,
E.6    , It is a kind of current times requirement.,,
E.6    ,"As my father says, daughters are more goal oriented and can achieve more by hard work while boys are easily distracted and can leave for cities.  ",,
E.7    ,"Growing plants and crops, cultivation, storing etc. ",,
E.8    ,Reasons for ending education? Family problems? Health issues? Extreme poverty,Transcriber’s summary,
E.8    ,Two most important reasonsHealth issues (1)Family problems (2),Transcriber’s summary,
E.9    ,it is strict government requirement for all boys and girls to finish college. ,,
E.9    ,"Girls might drop from college due to health issues (one girl got bone sickness last year, she cannot walk now)",,
E.9    ," or when mother dies and a girl is required to take over household management like cleaning, cooking, milking which requires daylong work. ",,
E.10    ,I want to do military service and become a military man later (5 of 10 boys confirmed they want to be military people).,,
E.10    ," Military people have stable salary, long life job, free uniform, maybe housing. ",,
E.10    ,I have an uncle who is a military and I envy him.,,
E.10    ,"I want to enter medical university to be a doctor, but have not decided doctor in which field.",,
E.10    ,I want to move to XX city to join my relatives and hope to settle down there.,,
E.11    ,"Everyone wants to enter university, but frankly, 2 out of 10 are really educated to do so.",,
