data_container,transcript,quote or transcriber's summary
E.1,Respondents cast a total of 8 votes. 6 of them voted for the third step of the ladder. This indicates that females of this village have power & freedom to make some major life decisions.,transcriber's summary
E.2 ,Most of us can take a few decisions,quote
E.2 ,"Yes, our parents listen to us",quote
E.2 ,We are taught to speak up for ourselves and we do,quote
E.2 ,When our parents decide to send us to school they decided to empower us,quote
E.2 ,They send us to school because times are changing and that is the need of the hour,quote
E.2 ,And so they listen to us too,quote
E.2 ,Education has brought about a revolutionary change – we are wiser and more capable,quote
E.2 ,We can distinguish between good and bad,quote
E.3,It is essential that we study otherwise we will not progress in life,quote
E.3,If we don’t go to school we will never learn all the new things that we do; if we don’t study we will only be rolling chapatis and bearing children,quote
E.3,Education opens our eyes to the world,quote
E.3,Education is necessary for our society’s and nation’s progress,quote
E.3,We will get respect only if we are educated,quote
E.4,Boys study as much as they want,quote
E.4,They usually complete their graduation,quote
E.4,Girls also do their graduation,quote
E.5,We need to be a graduate to get a good job,quote
E.5,It is good to study as much as we can,quote
E.5,Graduation is a minimum requirement for any job,quote
E.6,No,quote
E.6,They prefer to educate their boys,quote
E.6,Parents consider girls as “parayi” (not their own since they will marry and go to their husband’s home),quote
E.6,"No, times have changed and now parents are equally conscious about educating both",quote
E.6,There are very few homes where boys are still given preference,quote
E.6,Now parents are not partial to boys; that was the case many years ago; now they want both boys and girls to study,quote
E.6,I think they are more conscious about girls’ education,quote
E.7,Girls don’t learn anything related to agriculture,quote
E.7,We are not interested in agriculture,quote
E.7,Most girls study and in their free time help their mothers at home,quote
E.7,Boys accompany their fathers to the fields and hence learn most agricultural activities,quote
E.8,the main reasons why girls in this village end their education,transcriber's summary
E.8,"Poverty, Early marriage, Security concerns.   ",quote
E.8,Some quit because they are not interested in studies. ,quote
E.8,some quit because of transport concerns to college.,quote
E.8,Some quit due to inappropriate comments from society. ,quote
E.8,Some quit due to work pressure at home,quote
E.8,Some quit after they fail an exam at school,quote
E.9,The two most important reasons on this list why girls end their education.,transcriber's summary
E.9,Poverty,quote
E.9,Early marriage,quote
E.9,In many cases students have to drop out because there is no money to pay for their school/college,quote
E.10,"No, I did not have any specific goal in mind",quote
E.10,I wanted to do tailoring but could not,quote
E.10,We have plans but they don’t always materialize,quote
E.10,Who doesn’t have dreams and goals; I wanted to be a teacher; I am a graduate and will be getting married soon; I don’t know if I will be allowed to work at my husband’s place,quote
E.10,I am also a graduate and I wanted to work but there is no opportunity in our village; now my parents are planning to get me married,quote
E.11,Young men do agriculture ,quote
E.11,Some work as labor,quote
E.11,A few are doing business,quote
E.11,Some are working as drivers in nearby cities,quote
E.11,The lucky ones have jobs,quote
E.11,Some work as tutors,quote
E.11,Some are working as tailors,quote
E.12,We should have lots of job opportunities so that we all get work when we graduate,quote
E.12,We should become teachers,quote
E.12,We should become doctors so that we can provide good medical care in our village ,quote
E.12,We should not sit idle,quote
E.12,We should do some work to help with our household finances,quote
E.13,New practices or technologies or information/knowledge,quote
E.13," Zero tiller, Harvester, Combine, Cultivator, Rotavator, Pump, set Highmatic spray (for pesticides) ",quote
E.14,Two most important for women,quote
E.14,Zero tiller,quote
E.14,Pump set,quote
E.14,Two most important for men,quote
E.14,Zero tiller,quote
E.14,combine,quote
E.14, Women also use zero tiller and pump set,quote
