data_container,transcript,quote or transcriber's summary,,,
E.1,Respondents cast a total of 9 votes. 6 of them voted for the third step of the ladder. This indicates that females of this village have power & freedom to make some major life decisions.,transcriber's summary,,,
E.2,Your ability to take decisions depends upon how responsible you are,quote,,,
E.2,We have to consult our parents in every decision we take,quote,,,
E.2,It is possible that every decision taken by our parents may not be right,quote,,,
E.2,We can take decisions related to our education,quote,,,
E.2,But if we want to start a business we need their permission,quote,,,
E.2,We will have to convince them and then it will not be a problem,quote,,,
E.2,If I am in love with someone and want to marry her then I will have to persuade my parents to agree,quote,,,
E.2,We cannot do everything without asking our parents,quote,,,
E.2,It all depends on our behavior and maturity,quote,,,
E.3,We need to be educated today; even a famer needs to be educated,quote,,,
E.3,"We need to be educated to start a business, to get a private/government job",quote,,,
E.3,We need to be educated to be respected in society,quote,,,
E.3,It is easier to get a job if we are well educated,quote,,,
E.3,There is lot of difference in educated and uneducated person,quote,,,
E.3,We can become independent if we are educated,quote,,,
E.3,We will also get more dowry if we are educated,quote,,,
E.3,A doctor will like to marry a doctor and not a laborer,quote,,,
E.4,Most boys and girls in this village study till class 12. ,quote,,,
E.5,Both should at least complete their graduation,quote,,,
E.5,They should also have some technical training,quote,,,
E.5,They should also prepare for Staff Service Commission and bank officers exam,quote,,,
E.5,Women have reservation in government jobs,quote,,,
E.5,Technical training helps in getting a private job,quote,,,
E.6,"Yes, parents are equally dedicated to the education of their sons and daughters",quote,,,
E.6,That is because parents are more aware now of the importance of education,quote,,,
E.6,"No, parents are not partial to their sons",quote,,,
E.6,"But, yet some parents send their sons to private school and daughters to government schools",quote,,,
E.7,No one drives tractor now,quote,,,
E.7,"Most boys can do all agricultural activities- sowing, spraying pesticides, watering etc",quote,,,
E.7,"We can grow wheat, paddy mustard and peas on our own",quote,,,
E.7,Only 5% of the village girls work; these girls are poor and have to work to make a living,quote,,,
E.7,Those from financially better families only help their mothers at home,quote,,,
E.8,Reasons for boys ending education,transcriber's summary,,,
E.8,"Poverty, illiterate parents, and early marriage",quote,,,
E.9,the two most important reasons  that boysend their education.,transcriber's summary,,,
E.9,Poverty,quote,,,
E.9,Illiteracy of parents,quote,,,
E.10,I had always wanted to do business and by God’s grace and my parents support I am running a good business now,quote,,,
E.10,We all have aim in life but that doesn’t always fructify,quote,,,
E.10,We all want government job but then have to settle for a private job,quote,,,
E.10,We all have a dream but start looking for second option when we realize that our dream may not become a reality,quote,,,
E.11,Most young men have migrated to cities and are doing private job,quote,,,
E.11,Some are doing agriculture here while some have a business,quote,,,
E.12,We should all do either a job or start our own business,quote,,,
E.13,New practices or technologies or information/knowledge,quote,,,
