domain,Gender and social inclusion,,
project,Gendered Dreams and Realities,,
database,GENNOVATE,,
,,,
context_id,context_type,context_text,indicators
E_F_E.10,question,"When you finished your education, did you have a special goal for your future? If so, what was it? ",ASP;GAP;NRM_DEC
E_F_E.11,question,"Generally speaking, what do most young women of the village do with their lives when they are no longer students?",ASP;GAP;NRM_DEC;NRM_DIV
E_F_E.12,question,What do you think young women should do when they finish studying?,ASP;GAP;NRM_DIV;NRM_INF
E_F_E.13,question,"Now I'd like to focus on new local practices surrounding agriculture and managing natural resources like the forests, water, and soils which surround this village. Thinking back over the past five years or so, what new cropping or livestock practices or ways of managing local natural resources or organizing agricultural activities have people here tried out or experimented with?",NRM_INF
E_F_E.14,question,Which of these new agricultural practices have been the most important for the women in the community? Why important? And which have been most important for the men? Why? ,ASP;NRM_DIV;NRM_INF;NRM_MEN;NRM_STIG
E_F_E.15,question,Do you think that the young women of the village have the same opportunities as the young men to learn about and try out new farming practices or agricultural organizations? Why or why not?    ,ASP;GAP;NRM_AST;NRM_DIV;NRM_INF;NRM_MEN;NRM_MOB;NRM_STIG
E_F_E.15.a,question,Is it possible for women to be organized and work on farming?,
E_F_E.16,question,"Now we are going to look at the different traditions or customs from the past that surround agricultural activities.  And then we?ll discuss the more common practices of today.
What are the two or three most important crops or animals that women cultivate or raise in this community? And what were the most important crops or animals that women were responsible for 10 years ago? ",NRM_AST;NRM_DEC;NRM_DIV
E_F_E.17,question,[If agricultural practices have changed]:  What caused these changes over the past 10 years?,GAP;NRM_INF;NRM_MEN
E_F_E.18,question,Do the young people around here follow local customs of women doing certain agricultural activities and men doing others? Why or why not?,NRM_DIV;NRM_MEN;NRM_MOB;NRM_STIG
E_F_E.19,question,What would happen if a young men tried to grow and then sell on their own [name one of the major activities in the table]?  What difficulties could they face? ,GAP;NRM_AST;NRM_DEC;NRM_DIV;NRM_INF;NRM_MEN;NRM_MOB
