country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,ASP,ASP_NON,,,,,,,
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,ASP,ASP_TRAD,,,,,,,
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,ASP,ASP_MOD,"On the other hand, those who have financial capability they may start a business otherwise can enter in agricultural practices.",agricultural practices,quote,E.12.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,ASP,ASP_COL,And if s/he has a secondary or higher secondary education s/he can enter job in RMG sector or other industrial job,job in RMG sector,quote,E.12.,ready-made garment (RMG) sector,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,ASP,ASP_UNSP,We are educating ourselves because we wanted to be respected by surrounded society,respected,quote,E.10.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,ASP,ASP_UNSP,I am studying because I want to solve problems with my acquired knowledge,solve problems,quote,E.10.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,ASP,ASP_UNSP,I am studying because I want to get a decent job after completing my education,decent job,quote,E.10.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,ASP,ASP_UNSP,I am studying because I want to manage my life well with my acquired knowledge and this is my target/goal,manage life well,quote,E.10.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,ASP,ASP_UNSP,"Education is also necessary for mixing with other people who are educated or officials. Moreover, my family will be depended on me in the future. So, I want to do something for my family if I have necessary education",family dependant on me,quote,E.10.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,ASP,ASP_UNSP,Dignity and respect come through education. Education makes efficient in communications. Education is needed to become a proper person,dignity and respect,quote,E.10.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,ASP,ASP_UNSP,To get a good job education is very essential demand,good job,quote,E.10.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,ASP,ASP_UNSP,I think men should start an income earning job/activities when they stopped their schooling,income earning job/activitie,quote,E.12.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,ASP,ASP_UNSP,Someone have higher education s/he should try to engage a professional job,professional job,quote,E.12.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,ASP,ASP_UNSP,"On the other hand, those who have financial capability they may start a business ",start a business,quote,E.12.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,ASP,ASP_UNSP,"I think after stopping studying someone must enter any sort of work. It could be farming, mechanic, driving, whatever it is. He should have skills for specific goal",any sort of work,quote,E.12.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,ASP,ASP_UNSP,I want to see our village with all youths obtained higher education. And also having all sort of resources available here,higher education,quote,E.51.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,ASP,ASP_UNSP,I want see our village is become a child marriage free and all early marriage have stopped in the village.,early marriage have stopped,quote,E.51.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,ASP,ASP_UNSP,No one should be deprived of education here,education,quote,E.51.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,GAP,GAP_NON,,,,,,,
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,GAP,GAP_WID,Most men entered to agricultural work,agricultural,quote,E.11.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,GAP,GAP_WID,Girls are never stopped their education with their own will rather parents take this decision. And they become a bride after that. Most parents here start thinking for marriage when their daughter promoted to grades eight.  ,become a bride,quote,E.11.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,GAP,GAP_SML,Some also sell their labor during pick season when they are no longer a student,sell their labor,quote,E.11.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,GAP,GAP_SML,"Again, when there is no local agricultural work available some youths go elsewhere e.g. at road construction sites ",road construction,quote,E.11.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,GAP,GAP_SML,ome also migrated to XX where they join in factory work (garment and textile).,factory work,quote,E.11.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,GAP,GAP_SML,Thirty to forty percent men migrated to XX  and other large cities for work. ,migrated for work,quote,E.11.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,GAP,GAP_SML,Some men also go to distant city where they pull rickshaw/van with their fellow men. ,pull rickshaw/van ,quote,E.11.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,GAP,GAP_SML,As much as 40 percent youths migrated to different cities for work. And many of them are already settled and established. Youths are also migrating abroad from our village,migrated to different cities for work,quote,E.42.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,NRM_MEN,NRM_MEN_C,"It is fully accepted and appreciated if a young man grows wheat, maize, rice and vegetables in the distant fields or nearby and chickens/ducks at home. Society accepted that men can grow and sell any products whether it is agricultural products or animals.  ",accepted and appreciated,quote or transcriber's summary,E.20.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,NRM_MEN,NRM_MEN_N,,,,,,,
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,NRM_MEN,NRM_MEN_O,,,,,,,
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,NRM_MOB,NRM_MOB_C,women can grow vegetables in kitchen garden but she cannot sell herself those products in local market. This is still not possible for her. If there is no man in the household then someone from neighboring family can help her,cannot sell herself,quote,E.19.,,assuming that mobility constraint is the main reason that a woman cannot sell by herself in the market,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,NRM_MOB,NRM_MOB_C,"many people will criticize behind her back and she may lose her social dignity and respect in front of society if she freely moves in the field and public places. Moreover, there might be embargos from own family and lineage. ",freely moves,quote,E.19.,,,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,NRM_MOB,NRM_MOB_C,Adam will tell Ana that he may go to market for selling vegetables but he will not allow her going to market.,he will not allow her going to market,transcriber's summary,E.26.,,Adam=male spouse; Ana=female spouse,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,NRM_MOB,NRM_MOB_C,The vegetable must be sold by David it is not possible for Diana. Man can go to market but women are not allowed to go to market and sell products here,not allowed to go to market,quote,E.33.,,David=male spouse; Diana=female spouse,ENU_1
BD,BD3,GENNOVAT_BD3.xlsx,FG_E_Aspirations of Youth,BD3E_M,male,NRM_MOB,NRM_MOB_C,There are social hindrances on women’s movement in public places. People will tease and make fun of her work. That will reduce her social dignity as well,hindrances on women’s movement,quote,E.33.,,David=male spouse; Diana=female spouse,ENU_1
