country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence interval
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_F,female,ASP,ASP_COL, I wished I would become a medical doctor. ,medical doctor,quote,E.10,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_F,female,ASP,ASP_COL,I wanted to join XX Police,Police,quote,E.10,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_F,female,ASP,ASP_COL,I wanted to become a teacher,teacher,quote,E.10,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_F,female,ASP,ASP_BUSS,I always wanted to become my own boss after being involved in business,business,quote,E.10,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_F,female,ASP,ASP_BUSS,I would also like to create job for others ,create job for others ,quote,E.10,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_F,female,ASP,ASP_COL,I like to be health extension agent ,health,quote,E.10,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_F,female,ASP,ASP_COL,I imagined for a long time to be a Minister. ,Minister,quote,E.10,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_F,female,GAP,GAP_WID,"girls will support their families, in the farm and in the house",in the farm and in the house,quote,E.11,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_F,female,GAP,GAP_WID,engage in vegetable garden , vegetable garden ,quote,E.11,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_F,female,GAP,GAP_SML,engage in crop trading but in small quantity,crop trading,quote,E.11,,,ENU_2,0.95
