country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence interval
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_M,male,NRM_DEC,NRM_DEC_C,in case of girls they study until grade 6th and are forced to get married because they are considered as grownups by this time. , forced to get married,quote,E.4,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_M,male,NRM_INF,NRM_INF_C,uneducated parents may not send their girls to school to support them on household chores ,may not send their girls to school ,quote,E.4,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_M,male,NRM_EQ,NRM_EQ_YS,it’s the same for girls to study up to college and university to improve their social and economic opportunities. This is linked to later marriage and self employment. Many young boys who are employed want to marry employed girls. So girls should study., same for girls to study up to college and university to improve their social and economic opportunities.,quote,E.5,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_M,male,NRM_INF,NRM_INF_O,parents acknowledged the advantage of education and send both sons and daughters to school. ,,quote,E.6,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_M,male,NRM_DIV,NRM_DIV_C,"unlike boys girls stays with their mother at their early age and learn mainly household chores  may participate in farming when there is a need for extra labor, such as harvesting time",learn mainly household chores,quote,E.7,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_M,male,NRM_DIV,NRM_DIV_C,"may participate in farming when there is a need for extra labor, such as harvesting time",may participate in farming when there is a need for extra labor,quote,E.7,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_M,male,NRM_DIV,NRM_DIV_C,they don’t mainly involve in agricultural tasks because it is believed that agriculture related tasks are for the man and requires power,agriculture related tasks are for the man,quote,E.7,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_M,male,NRM_DIV,NRM_DIV_N,"As the family becomes female headed household, the burden of farming and other labor requiring tasks will rest on the shoulder of the older son",the burden of farming and other labor requiring tasks will rest on the shoulder of the older son,quote,E.9,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_M,male,ASP,ASP_COL,I have an ambition to be a teacher ,teacher,quote,E.10,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_M,male,ASP,ASP_COL,I want to be a doctor ,doctor,quote,E.10,,,ENU_2,0.95
ET,ET1,GENNOVATE_ET1.xlsx,FG_E_Aspirations of Youth,ET1E_M,male,ASP,ASP_BUSS,I want to have my own business ,have my own business ,quote,E.10,,,ENU_2,0.95
