country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,page number,container,background information,comments,enumerator_id,confidence interval
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DEC,NRM_DEC_C,under parents’ responsibility,parental control,quote,2,E.2,,Young men say parents control major life decisions,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DEC,NRM_DEC_C,dependent on them,dependence,quote,2,E.2,,Youth dependence limits own decision-making,ENU_3,0.85
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DEC,NRM_DEC_C,cannot decide major issues,no autonomy,quote,2,E.2,,Respondent says major life choices are not his own,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DEC,NRM_DEC_C,only obey parents,obedience,quote,2,E.2,,Youth expected to obey family instructions,ENU_3,0.85
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DEC,NRM_DEC_C,cannot live as wanted,constrained life,quote,2,E.2,,Personal freedom is limited by household authority,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DEC,NRM_DEC_N,some things we decide,partial agency,quote,2,E.2,,Respondent notes some areas of partial agency,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_COL,join college if resources,college plan,quote,2,E.2,,Going to college is possible only if resources allow,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DEC,NRM_DEC_C,many things we cannot decide,limited choice,quote,2,E.2,,Youth still face strong limits despite some freedom,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_SML,can go anywhere to work,work mobility,quote,2,E.2,,Young men report some work-related mobility,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_AST,NRM_AST_C,cannot decide things needing money,money constraint,quote,2,E.2,,Financial dependence limits choices,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_COL,school is a good thing,education good,quote,2,E.3,,Education is viewed positively,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_COL,education gives knowledge,knowledge,quote,2,E.3,,Schooling valued for knowledge gain,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_COL,educated man gets what he wants,education-success,quote,2,E.3,,Education linked to future success,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,did not go far in education,low attainment,quote,2,E.3,,Respondent did not progress far in school,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_COL,give children education,children’s schooling,quote,2,E.3,,Education is seen as the best thing for children,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,boys study only to grade 8,low schooling ceiling,quote,2,E.4,,Most boys stop around grade 8,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,few reach grade 10,limited continuation,quote,2,E.4,,Only a minority progress to grade 10,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,economic difficulties stop schooling,poverty barrier,quote,2,E.4,,Poverty blocks continued education,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,no secondary school nearby,school access,quote,2,E.4,,Lack of local secondary school constrains education,ENU_3,0.85
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,must go far and stay there,distance cost,quote,2,E.4,,Distance requires relocation and extra costs,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,rent and food needed,schooling costs,quote,2,E.4,,School continuation requires money for living costs,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,"girls marry younger, stop school",early marriage barrier,quote,3,E.4,,Early marriage disrupts girls’ education,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_COL,better to reach college and university,higher education,quote,3,E.5,,Men say boys and girls should study as far as possible,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_COL,education gives good job,good job,quote,3,E.5,,Education linked to formal employment,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_EQ,NRM_EQ_NO,boys get more chance than girls,son preference,quote,3,E.6,,Parents invest more in sons’ education,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DIV,NRM_DIV_C,educated boy may support parents,son provider,quote,3,E.6,,Boys are valued as future providers,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DIV,NRM_DIV_C,girls marry and serve own family,girls marry out,quote,3,E.6,,Girls expected to shift loyalty to husband’s family,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_AST,NRM_AST_C,girl will belong to husband,daughter transfer,quote,3,E.6,,Parents see daughters as leaving the natal household,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_AST,NRM_AST_C,parents give land to boys,land to sons,quote,3,E.6,,"Boys inherit land, girls do not",ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_AST,NRM_AST_C,boys use land income for education,land funds schooling,quote,3,E.6,,Male land access supports continued education,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_AST,NRM_AST_C,girls do not get land,girls no land,quote,3,E.6,,Girls are excluded from land inheritance,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DEC,NRM_DEC_C,girls depend on family,dependence,quote,3,E.6,,Lack of land leaves girls dependent,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_INF,NRM_INF_O,learn farming from fathers,fathers teach,quote,3,E.7,,Boys gain agricultural knowledge from fathers,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_MEN,NRM_MEN_C,fathers teach us farming because we help them,boys as farmers,quote,3,E.7,,Boys are prepared for farming roles,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_INF,NRM_INF_O,anything they know we know,full access to farm knowledge,quote,3,E.7,,Boys claim direct access to fathers’ farming knowledge,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_INF,NRM_INF_O,"father teaches plowing, planting, harvesting",male training,quote,3,E.7,,Boys are mentored in all major field tasks,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,top reason is family economic problem,poverty,quote,3,E.9,,Family poverty is ranked as main reason for ending school,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,peer pressure from dropouts,peer pressure,quote,3,E.9,,Discouragement from others contributes to school exit,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_COL,"goal was college, university, engineer",engineer goal,quote,4,E.10,,Respondent’s aspiration was higher education and engineering,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,forced to stop because of illness,illness barrier,quote,4,E.10,,Illness blocked attainment of aspiration,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_COL,had great vision to be doctor,doctor goal,quote,4,E.10,,Respondent aspired to be a doctor,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,fell in love and stopped school,romance dropout,quote,4,E.10,,Romantic relationship led to school exit,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,"married, had children, forgot education",family interrupted school,quote,4,E.10,,Marriage and children ended aspiration,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_COL,also wanted to be doctor,doctor aspiration,quote,4,E.10,,Another respondent also aspired to medicine,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_UNSP,hated to be farmer,reject farming,quote,4,E.10,,Farming was not the desired occupation,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,did not get result for college,exam result barrier,quote,4,E.10,,Poor exam result blocked college entry,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,joined military then returned to farming,failed alternative,quote,4,E.10,,Nonfarm alternative failed; respondent returned to unwanted farming,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_COL,dreamed to be teacher,teacher goal,quote,4,E.10,,Respondent aspired to teaching,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,dream shattered by low points,shattered dream,quote,4,E.10,,Teacher aspiration failed due to marks,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,now married and still farmer,aspiration replacement,quote,4,E.10,,Marriage and farming replaced prior aspiration,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,many stop after grade 10 and return home,school-to-idleness,quote,4,E.11,,Many youth fail to transition successfully after school,ENU_3,0.95
