country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_F,female,ASP,ASP_NON,,,,,,,
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_F,female,ASP,ASP_TRAD,,,,,,,
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_F,female,ASP,ASP_MOD,"after all this, I wish the local administration give youths land for plantation with irrigation and there are youths who are trained by the government previously who can train others",give youths land for plantation with irrigation,quote,E.51.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_F,female,ASP,ASP_COL,I drop out but I want to continue my education and want to be a well educated business woman. ,well educated business woman,quote,E.10.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_F,female,ASP,ASP_COL,I’m playing football and I want to be an educated soccer player in the future,educated soccer player,quote,E.10.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_F,female,ASP,ASP_COL,I want to be journalist in the future ,journalist,quote,E.10.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_F,female,ASP,ASP_COL,I want to be a lawyer ,lawyer,quote,E.10.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_F,female,ASP,ASP_COL,I have an ambition to be professional dancer because I believe I’m physically fit to be a dancer,professional dancer,quote,E.10.,,I decided to include professional dancer in this category because it is an aspiration for skilled and paid job outside agriculture,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_F,female,ASP,ASP_COL,I want to be eye specialist doctor,eye specialist doctor,quote,E.10.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_F,female,ASP,ASP_COL,I want to be a singer ,singer,quote,E.10.,,I decided to include singer in this category because it is an aspiration for skilled and paid job outside agriculture,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_F,female,ASP,ASP_COL,I want be also business woman,business woman,quote,E.10.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_F,female,ASP,ASP_UNSP,It is better for both to find job in other area or volunteered at any organization or NGO’s to improve their skill and work experience after they finished education rather than to return back to their families. ,find job,quote,E.12.,,,ENU_1
