country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,ASP,ASP_NON,,,,,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,ASP,ASP_TRAD,,,,,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,ASP,ASP_MOD,I learn to higher level possible here because I believe that I need additional knowledge in addition to the skills I already have. For instance to start poultry or any modern farming activity needs skill and the necessary education,start poultry or any modern farming activity,quote,E.5.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,ASP,ASP_MOD,my goal was to be a modern farmer and I am now,modern farmer,quote,E.10.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,ASP,ASP_MOD,my goal is to be agricultural investor,agricultural investor,quote,E.10.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,ASP,ASP_COL,"my goal is to be a professional lawyer, because I like civics and the democracy terms",lawyer,quote,E.10.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,ASP,ASP_COL,"my goal was to be shop owner, because my family has one",shop owner,quote,E.10.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,ASP,ASP_COL,"[E.11aWhat would most young [sex of FGD – refer to men or women] of the village prefer to do with their lives when they are no longer students?]
P8: Most of them want to get driving license and to be a driver.",driver,quote,E.11.a,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,ASP,ASP_COL,"[E.11aWhat would most young [sex of FGD – refer to men or women] of the village prefer to do with their lives when they are no longer students?]
P2: others want to get organized and to open wood and metal work shops",shops,quote,E.11.a,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,ASP,ASP_UNSP,"school is good, it is where you get knowledge. The knowledge and the skill you get from school, would help you to strengthen your life and improve your living condition",improve your living condition,quote,E.3.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,ASP,ASP_UNSP,"[We believe that boys and girls should educate until university level.]
P1: because that is the highest level of education. It is even good to learn above university level too I there is. By doing so, we can change our situations and living conditions",change our situations and living conditions,quote,E.5.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,ASP,ASP_UNSP,"[E.11aWhat would most young [sex of FGD – refer to men or women] of the village prefer to do with their lives when they are no longer students?]
P4: others want to seek assistance from their families to do some kind of business",business,quote,E.11.a,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,ASP,ASP_UNSP,they have to start work based on their field of study,start work,quote,E.12.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,ASP,ASP_UNSP,I think they can decide what they like to do after graduation ,can decide,quote,E.12.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,ASP,ASP_UNSP,"[E.42a Do many boys form this area migrate to other places to look for job?]
[They all say yes and some nodded their head in agreement ] Yes they do. 
[E.42b Let’s say how many of them migrate out of ten boys to look for job?]
[They all agreed in one]
Five out of ten boys migrate to other places to look for job.",migrate to other places to look for job,transcriber's summary,E.42.,,answers to additional questions,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,ASP,ASP_UNSP,more job opportunity,more job opportunity,quote,E.51.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,GAP,GAP_NON,my goal was to be a modern farmer and I am now,now I am one,quote,E.10.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,GAP,GAP_WID,Most of them went to farming after they finish school,farming,quote,E.11.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,GAP,GAP_WID,Most boys who couldn’t find job after finishing school usually have low morale and they could not easily go back to farming because they have been in school for many years that they have lost their knowledge. So they usually tend to sit and wonder,sit and wonder,quote,E.11.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,GAP,GAP_WID,"[E.43a What will they do then?][when they return to village after migrating]
P1: they may back to farming as their families do. ",back to farming,quote,E.43.,,answer to additional question,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,GAP,GAP_SML,others will go to the town and become drivers,drivers,quote,E.11.,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,NRM_MEN,NRM_MEN_C,,,,,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,NRM_MEN,NRM_MEN_N,,,,,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,NRM_MEN,NRM_MEN_O,,,,,,,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,NRM_MOB,NRM_MOB_C,"he would say no. Because his is an old fashioned, He doesn’t want his wife to be seen outside",doesn’t want his wife to be seen outside,quote,E.25.,,reason seems to refer to constraint to women's freedom to move  outside,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,NRM_MOB,NRM_MOB_C,"[E.25a What is he afraid of, what happens if he lets her out?]
P4: if he let her outside, he is afraid that she will know everything what he does and what he gains. She will meet people and learn new things and even the fact that other families are not living the way they do",,quote,E.25.,,answer to additional question,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,NRM_MOB,NRM_MOB_C,"[E.25a What is he afraid of, what happens if he lets her out?]
P3. He is afraid if she goes out often she will discuss and learn things that she would not if she stays home. He is also afraid she will meet a man",,quote,E.25.,,answer to additional question,ENU_1
ET,ET4,GENNOVATE_ET4.xlsx,FG_E_Aspirations of Youth,ET4E_M,male,NRM_MOB,NRM_MOB_N,,,,,,,ENU_1
