country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,ASP,ASP_NON,,,,,,,
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,ASP,ASP_TRAD,People whose parents have their own land can also join their parents in farming,farming,quote,E.12.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,ASP,ASP_MOD,,,,,,,
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,ASP,ASP_COL,Today technical knowledge is important to secure a job in industry,job in industry,quote,E.5.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,ASP,ASP_COL,I want to join the railways after I finish my education,railways,quote,E.10.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,ASP,ASP_COL,I want to join the defense services or the police force,defense services or police force,quote,E.10.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,ASP,ASP_COL,"Yes, we all want government job",government job,quote,E.10.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,ASP,ASP_UNSP,Education is very important for being successful in life,successful in life,quote,E.3.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,ASP,ASP_UNSP,We are going to school to learn so that we can get better jobs and earn more money,better jobs,quote,E.3.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,ASP,ASP_UNSP,"Even if we study only till class 12 but then also get a diploma in a technical course, then also we can secure a private job worth Rs.30000 per month",private job,quote,E.5.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,ASP,ASP_UNSP,"It is easy to get a job in a company if we do a technical course or do a diploma
	Yes, and all this is true for girls also",a job in a company,quote,E.5.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,ASP,ASP_UNSP,Our parents want our sisters to study so that they can also get good jobs and get married into good families ,good jobs,quote,E.5.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,ASP,ASP_UNSP,We don’t mind private jobs either,private jobs,quote,E.10.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,ASP,ASP_UNSP,I want to start a business,business,quote,E.12.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,ASP,ASP_UNSP,We should get a government/private job,government/private job,quote,E.12.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,ASP,ASP_UNSP,"We don’t know much about agriculture since we hardly do any agricultural work
We are not even interested in agriculture",not even interested in agriculture,quote,E.14.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,GAP,GAP_NON,They get government jobs,government job,quote,E.11.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,GAP,GAP_NON,They also do private jobs,private jobs,quote,E.11.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,GAP,GAP_NON,They work in companies,companies,quote,E.11.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,GAP,GAP_WID,They start looking for jobs,looking for jobs,quote,E.11.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,GAP,GAP_WID,Once girls complete their class 12th their parents looking for a suitable groom for them and then they either sit at home or study from home or enroll in distance education till they get married  ,sit at home,quote,E.12.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,GAP,GAP_SML,,,,,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MEN,NRM_MEN_C,Women don’t know anything about the market,Women don’t know anything about the market,quote,E.19.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MEN,NRM_MEN_C,Marketplace is for men; they know their trade; they know the prices and they know how to haggle,Marketplace is for men,quote,E.19.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MEN,NRM_MEN_C,Man will sell the vegetables as he has better idea about it; woman has no idea how transactions happen at marketplace,woman has no idea how transactions happen at marketplace,quote,E.33.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MEN,NRM_MEN_C,A woman will be lost at marketplace,A woman will be lost at marketplace,quote,E.33.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MEN,NRM_MEN_N,,,,,,,
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MEN,NRM_MEN_O,,,,,,,
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MOB,NRM_MOB_C,Generally we do not allow our women to work outside,not allow our women to work outside,quote,E.25.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MOB,NRM_MOB_C,"No, husband will not kindly to the idea of his wife joining such a group; he will forbid her",forbid her,quote,E.25.,,assuming this relates to issues of freedom of mobility,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MOB,NRM_MOB_C,Husband will not let her go anywhere near the marketplace; other men will gawk at her which he cannot allow,will not let her go anywhere near the marketplace,quote,E.26.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MOB,NRM_MOB_C,Some parents may not allow for safety reasons,Some parents may not allow ,quote,E.38.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MOB,NRM_MOB_C,Young married women do not go because of prevailing social norms and values,do not go,quote,E.39.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MOB,NRM_MOB_C,We don’t allow women to go to the market,We don’t allow women to go to the market,quote,E.40.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MOB,NRM_MOB_N,It depends upon her husband’s mentality [whether Adam would respond if Ana asks if she can join a local group of women who grow vegetables like she does],husband's mentality,quote,E.25.,,assuming this relates to issues of freedom of mobility,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MOB,NRM_MOB_N,This is decided by the economic need of the family; poor women go; women from lower castes go; rich women don’t,poor women go [to the market to sell],quote,E.40.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MOB,NRM_MOB_N,"Women go with other women
	But there is no issue in women going alone to the market",women go with other women,quote,E.38.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MOB,NRM_MOB_N,They can go but a 4-5 years of their marriage; in the beginning their husband and family will object,in the beginning their husband and family will object,quote,E.39.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MOB,NRM_MOB_N,They can go after marriage but only with their husbands; they cannot go alone,with their husbands,quote,E.39.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MOB,NRM_MOB_N,Women can go during the day; it will not be a problem; but nights may not be safe,nights may not be safe,quote,E.41.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MOB,NRM_MOB_O,He will be okay with his wife joining a group,He will be okay with his wife joining a group,quote,E.25.,,assuming this relates to issues of freedom of mobility,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MOB,NRM_MOB_O,Yes women can walk comfortably to the market,women can walk comfortably to the market,quote,E.38.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MOB,NRM_MOB_O,"Yes, she can walk alone comfortably in the market even after her marriage",she can walk alone comfortably,quote,E.39.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MOB,NRM_MOB_O,Women can move freely in our village,move freely,quote,E.41.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_MOB,NRM_MOB_O,Girls usually go with their friends and sometime with their family members,girls go with their friends,quote,E.41.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_DIV,NRM_DIV_C,Women don’t do much agricultural work; earlier many of them did harvesting and sorting but with the advent of combine now they are not required to pitch in at all since this machine does both harvesting and sorting in much less time,Women don’t do much agricultural work,quote,E.14.,,,ENU_1
IN,IN1,GENNOVATE_IN1.xlsx ,FG_E_Aspirations of Youth,IN1E_M,male,NRM_DIV,NRM_DIV_C,"No, women are not involved in agriculture",women not involved  in agriculture,quote,E.15.,,,ENU_1
