country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence interval,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_C,None of us take any decision; we only give our opinion to our guardian,None of us take any decision;,quote,E.2,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_C,their guardians think that they are not yet mature to take decisions,they are not yet mature to take decisions,quote,E.2,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_STIG,NRM_STIG_C,There are some who earn money but give it to their guardian. The decision is always taken by the guardians,The decision is always taken by the guardians,quote,E.2,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_C,Guardians are always apprehensive that we are too young and incapable of taking the right decision,we are too young and incapable of taking the right decision,quote,E.2,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,ASP,ASP_UNSP,Education makes our problems easier by giving us knowledge and preparing us for a job so that we can earn,preparing us for a job,quote,E.3,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,ASP,ASP_COL,It is easier to get a government/private job if we have a technical degree,government/private job,quote,E.5,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,ASP,ASP_COL,Boys should get some degree from Industrial Training Institute while girls should do a course in computers ,,quote,E.6,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_C,Parents are also not very comfortable with the idea of girls going out to study for fear that they may get addicted to bad things,Parents are also not very comfortable with the idea of girls going out to study,quote,E.6,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_MOB,NRM_MOB_C,Parents also fear for the safety of their daughters; yesterday a girl was raped and murdered in a neighboring village,a girl was raped and murdered in a neighboring village,quote,E.6,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DIV,NRM_DIV_C,"We water our filed, spray fertilizers, monitor our crop",,quote,E.7,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DIV,NRM_DIV_C,We can also do sowing,,quote,E.7,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DIV,NRM_DIV_C,Girls do weeding and harvesting,,quote,E.7,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,GAP,GAP_WID,early marriage is the main reason why young girls in this village end their education,,transcriber's summary,E.8,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,ASP,ASP_COL,I wanted to join the army,join the army,quote,E.10,,,ENU_2,0.95,
