country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence interval
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,NRM_EQ,NRM_EQ_YS,Television as a medium has helped us by showing us how women in big cities live and behave,television exposure,Quote,E.2,,"I coded this under gender equality because the quote refers to seeing other women living more freely and differently, which shapes girls’ understanding of what women can do.",ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,NRM_DEC,NRM_DEC_N,It has given us the courage to express ourselves now,courage to express,Quote,E.2,,"This is about girls’ agency and voice. I coded it as nuanced decision-making because it suggests some emerging ability to speak, though not full decision power.",ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,NRM_DEC,NRM_DEC_N,Our fathers and grandfathers may not listen to us but our mothers do and sometimes they fight for us too,mothers fight for us,Quote,E.2,,"This shows girls are not fully heard by men, but mothers sometimes advocate for them. I coded it as nuanced restricted agency.",ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,ASP,ASP_COL,Since we go to school we have some exposure; we know that we can also become teachers if we want,become teachers,Quote,E.2,,This is a direct occupational aspiration for teaching.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,NRM_DEC,NRM_DEC_C,But we have to be careful since men are still the heads in the community and they are the decision makers,men decision makers,Quote,E.2,,This directly confirms that men hold authority and decision power.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,NRM_DEC,NRM_DEC_N,Now we want to at least try to express ourselves,try to express,Quote,E.2,,"This shows some emerging agency, but only partial, so I coded it as nuanced.",ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,ASP,ASP_UNSP,"Yes, we must study",must study,Quote,E.3,,"This is a direct positive aspiration toward education, but not tied to one specific job.",ENU_3,0.85
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,GAP,GAP_WID,If we don’t study then we will also spend our lives cooking and cleaning and brooding,cooking and cleaning,Quote,E.3,,"This contrasts the desired future with a restricted domestic life, indicating a strong aspiration-attainment gap if education is absent.",ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,ASP,ASP_UNSP,We need to study to be self-reliant,self-reliant,Quote,E.3,,This is a clear broad aspiration for independence through education.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,ASP,ASP_UNSP,If we want to lead better lives then we need to study well,better lives,Quote,E.3,,This is a general life aspiration linked to schooling.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,GAP,GAP_NON,Both boys and girls study up to class 12,both class 12,Quote,E.4,,"This suggests similar attainment for boys and girls at this level, so I coded no clear gap.",ENU_3,0.85
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,ASP,ASP_COL,We should complete our graduation (Bachelors),complete graduation,Quote,E.5,,This is a direct educational aspiration for college completion.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,GAP,GAP_WID,If we leave our studies mid-way then we will end up doing farming and rolling bidis,farming and bidis,Quote,E.5,,This shows an unwanted fallback livelihood and therefore a strong gap between aspirations and likely outcomes.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,ASP,ASP_COL,We must complete our studies to get a decent job like a teacher’s,teacher’s job,Quote,E.5,,This links study directly to a specific respectable occupation.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,NRM_EQ,NRM_EQ_YS,"Yes, parents are as committed to their daughter’s education as to their son’s",same commitment daughters sons,Quote,E.6,,Direct support for equal parental commitment to girls’ and boys’ education.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,NRM_EQ,NRM_EQ_YS,"Yes, there is no gender partiality here",no gender partiality,Quote,E.6,,Clear perception of gender equality in schooling.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,NRM_EQ,NRM_EQ_YS,Our parents want us to study,parents want study,Quote,E.6,,Supports the idea that daughters’ education is valued.,ENU_3,0.85
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,GAP,GAP_NON,Most of the girls here in our village go to school,girls go to school,Quote,E.7,,"This suggests girls’ education participation is common, so no clear gap by itself.",ENU_3,0.85
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,NRM_DIV,NRM_DIV_N,There are some who help in sowing and harvesting,help sowing harvesting,Quote,E.7,,"Girls participate in some agricultural work, but not all, so I coded this as nuanced division of labor.",ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,NRM_INF,NRM_INF_C,We want to learn to operate the machines that boys do but we are not allowed,not allowed machines,Quote,E.7,,This directly shows women are denied access to knowledge and practice around machines.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,NRM_MEN,NRM_MEN_C,We want to learn to operate the machines that boys do but we are not allowed,boys do machines,Quote,E.7,,"This also implies machines are considered boys’ domain, confirming the norm that men are better suited to mechanized farming.",ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,NRM_DIV,NRM_DIV_C,Some of us carry the bundles of crop on our head,carry bundles,Quote,E.7,,This points to gendered manual labor expectations for girls.,ENU_3,0.85
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,NRM_DIV,NRM_DIV_C,But we also study; we also help our mothers at home,help mothers at home,Quote,E.7,,This confirms girls’ domestic role alongside school and agricultural labor.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,GAP,GAP_WID,When we fail our exams,fail exams,Quote,E.8,,Exam failure is identified as a direct reason education ends.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,GAP,GAP_WID,Due to poverty,poverty,Quote,E.8,,Poverty is a major barrier to educational continuation.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,GAP,GAP_WID,Some boys quit studies and migrate for work,boys migrate for work,Quote,E.8,,This indicates how livelihood pressures interrupt schooling.,ENU_3,0.85
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,GAP,GAP_WID,Sometimes some parents ask their children to quit studies and help in earning a livelihood,quit and earn,Quote,E.8,,Family livelihood needs force educational discontinuation.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,GAP,GAP_WID,Sometimes girls get married and are forced to drop their studies,girls married drop studies,Quote,E.8,,Early marriage is a strong barrier to girls’ attainment.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,NRM_MOB,NRM_MOB_C,Safety concerns for girls,safety concerns,Quote,E.8,,Safety concerns are a direct mobility-related barrier affecting girls’ education.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,GAP,GAP_WID,Due to early marriage,due to early marriage,Quote,E.8,,"Repeated as a top reason for ending education, indicating a wide gap.",ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,NRM_MOB,NRM_MOB_C,Safety concerns: there is no school or college here in our village and we go to XX to study. It is about 3-4 kilometers and not safe for us,3-4 kilometers unsafe,Quote,E.9,,This is a very clear mobility restriction affecting schooling access.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,GAP,GAP_WID,Therefore some parents feel hesitant about sending us to school,parents hesitant,Quote,E.9,,This shows how safety concerns translate into interrupted education.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,GAP,GAP_WID,Early marriage: sometimes when girls get married early then they are forced to quit,early marriage quit,Quote,E.9,,This explicitly links early marriage to girls dropping out.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_F,female,ASP,ASP_UNSP,We think about our future and want to do well and live well,do well live well,Quote,E.10,,This is a broad aspiration for a better future.,ENU_3,0.95
