country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,ASP,ASP_NON,R.1.: when education is incomplete i have no special goals to be set for future,no special goals to be set for future,quote,E.10.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,ASP,ASP_NON,R.3: It is impossible to think of becoming officer with 5th level of education and plan special goal because our parents set one goal for our future and that is marriage,impossible to think of becoming officer,quote,E.10.,5th grade in Pakistan refers to finishing Primary Education,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,ASP,ASP_NON,"R.1.: If the education is incomplete, how to think of doing something after completion of study",how to think of doing something,quote,E.12.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,ASP,ASP_TRAD,,,,,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,ASP,ASP_MOD,,,,,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,ASP,ASP_COL,,,,,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,ASP,ASP_UNSP,R.6: An educated woman batterly runs the affairs of households can earn livelihood for her family,earn livelihood,quote,E.5.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,ASP,ASP_UNSP,R.2: Start a job and work for development and prosperity,job,quote,E.12.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,ASP,ASP_UNSP,R.5: Join job and improve their own overall position as well as of the village.,job,quote,E.12.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,ASP,ASP_UNSP,R.3: Through getting education our life style will improve,life style will improve,quote,E.12.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,GAP,GAP_NON,,,,,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,GAP,GAP_WID,R.3: It is impossible to think of becoming officer with 5th level of education and plan special goal because our parents set one goal for our future and that is marriage,parents set one goal for our future and that is marriage,quote,E.10.,5th grade in Pakistan refers to finishing Primary Education,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,GAP,GAP_WID,R.2.: Mostly do the household works,household works,quote,E.11.,transcriber gave coded ID to respondents which allows to check aspiration versus achievement,assuming aspirations beyond traditional agriculture or homemaker,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,GAP,GAP_WID,R.5.: Work in the crop land.,Work in the crop land.,quote,E.11.,transcriber gave coded ID to respondents which allows to check aspiration versus achievement,this respondent stated they have no education when asked about a goal for the future in question E.10. so I assume they aspire something beyond traditional agriculture,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,GAP,GAP_WID,R.3: Take care of cattle,Take care of cattle,quote,E.11.,transcriber gave coded ID to respondents which allows to check aspiration versus achievement,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,GAP,GAP_SML,R.5: Stitching and designing works at home,Stitching,quote,E.11.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,NRM_MEN,NRM_MEN_C,R.2: Our suggestions don’t have much importance according to prevailed customs and traditions.,Our suggestions don’t have much importance,quote,E.18.,,"while the question probed for gender division of labour, the respondents seemed to answer they don't see themselves taken serious when it comes to agricultural activities",ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,NRM_MEN,NRM_MEN_C,"R.1: Yes, we follow them because they [men] have more practical experiences and more know how as compare to us.",they [men] have more practical experiences and more know how,quote,E.18.,,"while the question probed for gender division of labour, the respondents seemed to answer they don't see themselves taken serious when it comes to agricultural activities",ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,NRM_MEN,NRM_MEN_C,"R.6: If we don’t follow them [men], then we will be in loss.",in loss,quote,E.18.,,"while the question probed for gender division of labour, the respondents seemed to answer they don't see themselves taken serious when it comes to agricultural activities",ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,NRM_MEN,NRM_MEN_C,R.3: David to sell because he go to market and know the market day to day changing prices,know the market day to day changing prices,quote,E.33.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,NRM_MEN,NRM_MEN_C,R.2: Of course David because he knows the situation of market place and updates as compare with women.,he knows the situation of market place and updates,quote,E.33.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,NRM_MEN,NRM_MEN_N,,,,,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,NRM_MEN,NRM_MEN_O,,,,,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,NRM_MOB,NRM_MOB_C,R.1: women access to market is impossible,access to market is impossible,quote,E.19.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,NRM_MOB,NRM_MOB_C,R.5: neither our husband nor our brothers can allow us to go to market place.,neither our husband nor our brothers can allow us,quote,E.19.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,NRM_MOB,NRM_MOB_C,R.2: if women sale agri-products in the market it will have serious consequences on the whole area,serious consequences,quote,E.19.,,assuming they refer to consequences following breaking norms that constrain women's mobility or agency to sell,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,NRM_MOB,NRM_MOB_C,R.4: women presence in the market doesn’t appreciate and have negative effects,presence in the market doesn’t appreciate,quote,E.19.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,NRM_MOB,NRM_MOB_C,R.1: will never allow her,never allow her,quote,E.25.,,this is about a woman joining a women's group who sell from their garden as she wants to do. I assumed the respondents refer to mobility constraints as a reason it would not be allowed,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,NRM_MOB,NRM_MOB_C,R.5: our family gents will never allow so easily joining any group,never allow,quote,E.25.,,this is about a woman joining a women's group who sell from their garden as she wants to do. I assumed the respondents refer to mobility constraints as a reason it would not be allowed,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,NRM_MOB,NRM_MOB_C,R.4: Our custom and tradition is in converse,tradition is in converse,quote,E.25.,,this is about a woman joining a women's group who sell from their garden as she wants to do. I assumed the respondents refer to mobility constraints as a reason it would not be allowed,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_F,female,NRM_MOB,NRM_MOB_C,R.6: How it possible in male dominated market. It is not possible,male dominated market,quote,E.25.,,,ENU_1
