country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_M,male,ASP,ASP_NON,,,,,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_M,male,ASP,ASP_TRAD,R1. Girls shall stay home and assist their mother,stay home,quote,E.12.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_M,male,ASP,ASP_MOD,,,,,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_M,male,ASP,ASP_COL,R4. I am looking at the government job after I complete my education,government job,quote,E.10.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_M,male,ASP,ASP_COL,"R4. At the completion of education, boys and girls shall start jobs and provide services to the masses in general like teacher doctors etc.",teacher doctor,quote,E.12.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_M,male,ASP,ASP_UNSP,R.3 To get education is the key to bright future prospectus,bright future,quote,E.3.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_M,male,ASP,ASP_UNSP,R2. I plan to complete education and then I will setup my own business.,business,quote,E.10.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_M,male,ASP,ASP_UNSP,R3. My goals is get some technical skills along with education.,technical,quote,E.10.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_M,male,ASP,ASP_UNSP,"R1. Mostly young men are in always in search of suitable employment because they want to get rid of farming work as it requires the hard work, keep the farmer engage throughout the year and he get very little time to take rest.",in search of suitable employment because they want to get rid of farming work,quote,E.42.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_M,male,GAP,GAP_NON,,,,,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_M,male,GAP,GAP_WID,"R2. After completion of education, mostly people engage themselves in farming, while others involve in daily wages",farming,quote,E.11.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_M,male,GAP,GAP_WID,R5. Mostly girls get married and lives as house-wives.,house-wives,quote,E.11.,,,ENU_1
PK,PK2,GENNOVATE_PK2.xlsx,FG_E_Aspirations of Youth,PK2E_M,male,GAP,GAP_WID,"R1. Most of the men, after completion of education, work with their fathers in the farming fields.",farming fields,quote,E.11.,,,ENU_1
