country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence_interval
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_M,male,NRM_INF,NRM_INF_C,There is no Girls School in the village that is why their girls cannot get education,girls cannot get education,quote,E.3,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_M,male,NRM_INF,NRM_INF_C,The parents do not care for the education of girls. ,,quote,E.6,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_M,male,NRM_INF,NRM_INF_C,they pay more heed to the education of the boys,,quote,E.6,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_M,male,NRM_INF,NRM_INF_C,the folks of our village do not consider the girls’ education a good thing,do not consider the girls’ education a good thing,quote,E.6,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_M,male,NRM_INF,NRM_INF_C,they think if the girls get education they will go astray,,quote,E.6,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_M,male,NRM_DIV,NRM_DIV_C,"works are usually done by the females i.e. weeding, harvesting, cotton picking and even lending a hand to their parents. ",,quote,E.7,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_M,male,NRM_INF,NRM_INF_C,the biggest reason of giving up the education by the girls is the unavailability of school in our village.,unavailability of school,quote,E.9,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_M,male,NRM_INF,NRM_INF_C,the parents do not let her go to school.,parents do not let her go to school.,quote,E.9,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_M,male,ASP,ASP_COL,I desire to do a job either in a bank or any other established institution.,bank or established institution,quote,E.10,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_M,male,ASP,ASP_UNSP,"I got education to get a job, to provide my children with higher education ",,quote,E.11,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_M,male,GAP,GAP_WID,most of them spend their time in idleness,spend their time in idleness,quote,E.11,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_M,male,GAP,GAP_WID,they do domestic work without income.,domestic work without income.,quote,E.11,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_M,male,GAP,GAP_WID,they do not do any work even after getting a little education. They remain idle and often do domestic chores. ,"idle, domestic chores",quote,E.11,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_M,male,GAP,GAP_SML,most of the youngsters of my village go to other cities for employment,other cities for employment,quote,E.11,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_M,male,NRM_DIV,NRM_DIV_C,"Females do the domestic work, they sew the clothes for personal use, plaster the houses with mud, take care of the cattle  and bring up the children.",,quote,E.11,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_M,male,ASP,ASP_UNSP,permanent employment,employment,quote,E.12,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_M,male,ASP,ASP_BUSS,They should learn such skills which help them in employment or business,business,quote,E.12,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_M,male,ASP,ASP_UNSP,they should do labor and hard work ,,quote,E.12,,,ENU_2,0.95
